"","Iteration","Best","Average"
"1",1,0.155439691961044,1.4408274288427
"2",2,0.142657454811723,1.10910049308907
"3",3,0.130449180918426,0.986082666672034
"4",4,0.121026524874854,0.697474740737467
"5",5,0.111080051630995,0.688509863640894
"6",6,0.103004886607629,0.46382530298628
"7",7,0.0929127074702228,0.456470168328771
"8",8,0.085150196876216,0.44796104369632
"9",9,0.0810822213516284,0.402044515046782
"10",10,0.0736599878262392,0.234337269102523
"11",11,0.0640980115126066,0.0785518861209015
"12",12,0.0564025794258779,0.0683059874644456
"13",13,0.0451508816809495,0.0573043831029636
"14",14,0.0408471607448842,0.0504158664658985
"15",15,0.0361171902309974,0.0461789668856278
"16",16,0.0294503504565617,0.0407261013189564
"17",17,0.0212132472338401,0.0332131708537064
"18",18,0.0129488780668953,0.0232126832622314
"19",19,0.00641805974731662,0.0152198337340258
"20",20,0.000680485941247067,0.0115824224225046
"21",21,0,0.00765557260169436
"22",22,0,0.00473439279685122
"23",23,0,0.00165254136176438
"24",24,0,0.000692688072216097
"25",25,0,0.000535701572119852
"26",26,0,0.000433367365123124
"27",27,0,0.000258886254218729
"28",28,0,0.000185501962047792
"29",29,0,0.00017129365417846
"30",30,0,0.000142835730248825
"31",31,0,0.000138954249664225
"32",32,0,4.04784879788431e-05
"33",33,0,3.10398843480192e-05
"34",34,0,2.90524859450141e-05
"35",35,0,2.3209615767891e-05
"36",36,0,1.33709906138794e-05
"37",37,0,1.12194405419647e-05
"38",38,0,7.06295794318042e-06
"39",39,0,5.3516120109423e-06
"40",40,0,0
"41",41,0,0
"42",42,0,0
"43",43,0,0
"44",44,0,0
"45",45,0,0
"46",46,0,0
"47",47,0,0
"48",48,0,0
"49",49,0,0
"50",50,0,0
"51",51,0,0
"52",52,0,0
"53",53,0,0
"54",54,0,0
"55",55,0,0
"56",56,0,0
"57",57,0,0
"58",58,0,0
"59",59,0,0
"60",60,0,0
"61",61,0,0
"62",62,0,0
"63",63,0,0
"64",64,0,0
"65",65,0,0
"66",66,0,0
"67",67,0,0
"68",68,0,0
"69",69,0,0
"70",70,0,0
"71",71,0,0
"72",72,0,0
"73",73,0,0
