Iteration,Phase,Id,X,Y
10,,10,,
0,0,0,125.54867833782626,152.76545787065373
0,0,1,195.7625012956173,196.9053619575779
0,0,2,269.08693668705104,98.23917352452827
0,0,3,128.30326254357763,148.00138840681177
0,0,4,537.4650324209554,101.05685442143186
0,0,5,548.3836672458604,187.4743156794331
0,0,6,151.88005273763784,0.0
0,0,7,545.1032565414986,174.88432872871766
0,0,8,0.0,227.249973771184
0,0,9,413.17353523736756,24.779031880968432
0,1,0,125.54867833782626,152.76545787065373
0,1,1,195.7625012956173,196.9053619575779
0,1,2,303.8952099391522,116.55191829064435
0,1,3,128.30326254357763,148.00138840681177
0,1,4,537.4650324209554,101.05685442143186
0,1,5,548.3836672458604,187.4743156794331
0,1,6,151.88005273763784,0.0
0,1,7,545.1032565414986,174.88432872871766
0,1,8,0.0,227.249973771184
0,1,9,485.7707850010717,4.410762713731742
0,2,0,125.54867833782626,152.76545787065373
0,2,1,195.7625012956173,196.9053619575779
0,2,2,303.8952099391522,116.55191829064435
0,2,3,128.30326254357763,148.00138840681177
0,2,4,537.4650324209554,101.05685442143186
0,2,5,548.3836672458604,187.4743156794331
0,2,6,151.88005273763784,0.0
0,2,7,545.1032565414986,174.88432872871766
0,2,8,0.0,227.249973771184
0,2,9,485.7707850010717,4.410762713731742
1,0,0,125.54867833782626,152.76545787065373
1,0,1,195.7625012956173,196.9053619575779
1,0,2,303.8952099391522,116.55191829064435
1,0,3,155.47364307236552,172.88870263702833
1,0,4,537.4650324209554,101.05685442143186
1,0,5,272.6384518388159,179.49897745153822
1,0,6,286.59153561929867,124.02095237396304
1,0,7,545.1032565414986,174.88432872871766
1,0,8,139.25262327102286,240.33890548494264
1,0,9,485.7707850010717,4.410762713731742
1,1,0,125.54867833782626,152.76545787065373
1,1,1,195.7625012956173,196.9053619575779
1,1,2,303.8952099391522,116.55191829064435
1,1,3,155.47364307236552,172.88870263702833
1,1,4,537.4650324209554,101.05685442143186
1,1,5,272.6384518388159,179.49897745153822
1,1,6,286.59153561929867,124.02095237396304
1,1,7,545.1032565414986,174.88432872871766
1,1,8,139.25262327102286,240.33890548494264
1,1,9,485.7707850010717,4.410762713731742
1,2,0,125.54867833782626,152.76545787065373
1,2,1,195.7625012956173,196.9053619575779
1,2,2,303.8952099391522,116.55191829064435
1,2,3,155.47364307236552,172.88870263702833
1,2,4,537.4650324209554,101.05685442143186
1,2,5,272.6384518388159,179.49897745153822
1,2,6,286.59153561929867,124.02095237396304
1,2,7,545.1032565414986,174.88432872871766
1,2,8,139.25262327102286,240.33890548494264
1,2,9,485.7707850010717,4.410762713731742
2,0,0,125.54867833782626,152.76545787065373
2,0,1,256.6503934871579,175.5251492881227
2,0,2,303.8952099391522,116.55191829064435
2,0,3,179.58809210420685,180.08217780695063
2,0,4,537.4650324209554,101.05685442143186
2,0,5,307.6832735555047,166.20136241799628
2,0,6,286.59153561929867,124.02095237396304
2,0,7,545.1032565414986,174.88432872871766
2,0,8,139.25262327102286,240.33890548494264
2,0,9,505.63296641618814,154.9018839456262
2,1,0,125.54867833782626,152.76545787065373
2,1,1,256.6503934871579,175.5251492881227
2,1,2,303.8952099391522,116.55191829064435
2,1,3,179.58809210420685,180.08217780695063
2,1,4,537.4650324209554,101.05685442143186
2,1,5,307.6832735555047,166.20136241799628
2,1,6,286.59153561929867,124.02095237396304
2,1,7,545.1032565414986,174.88432872871766
2,1,8,139.25262327102286,240.33890548494264
2,1,9,505.63296641618814,154.9018839456262
2,2,0,125.54867833782626,152.76545787065373
2,2,1,256.6503934871579,175.5251492881227
2,2,2,303.8952099391522,116.55191829064435
2,2,3,179.58809210420685,180.08217780695063
2,2,4,537.4650324209554,101.05685442143186
2,2,5,307.6832735555047,166.20136241799628
2,2,6,286.59153561929867,124.02095237396304
2,2,7,545.1032565414986,174.88432872871766
2,2,8,139.25262327102286,240.33890548494264
2,2,9,505.63296641618814,154.9018839456262
3,0,0,125.54867833782626,152.76545787065373
3,0,1,256.6503934871579,175.5251492881227
3,0,2,303.8952099391522,116.55191829064435
3,0,3,179.58809210420685,180.08217780695063
3,0,4,537.4650324209554,101.05685442143186
3,0,5,307.6832735555047,166.20136241799628
3,0,6,286.59153561929867,124.02095237396304
3,0,7,545.1032565414986,174.88432872871766
3,0,8,139.25262327102286,240.33890548494264
3,0,9,480.74034247594636,147.0071165724084
3,1,0,125.54867833782626,152.76545787065373
3,1,1,256.6503934871579,175.5251492881227
3,1,2,303.8952099391522,116.55191829064435
3,1,3,179.58809210420685,180.08217780695063
3,1,4,537.4650324209554,101.05685442143186
3,1,5,307.6832735555047,166.20136241799628
3,1,6,286.59153561929867,124.02095237396304
3,1,7,545.1032565414986,174.88432872871766
3,1,8,139.25262327102286,240.33890548494264
3,1,9,480.74034247594636,147.0071165724084
3,2,0,125.54867833782626,152.76545787065373
3,2,1,256.6503934871579,175.5251492881227
3,2,2,303.8952099391522,116.55191829064435
3,2,3,179.58809210420685,180.08217780695063
3,2,4,62.03074240619122,118.35894097353096
3,2,5,307.6832735555047,166.20136241799628
3,2,6,286.59153561929867,124.02095237396304
3,2,7,545.1032565414986,174.88432872871766
3,2,8,139.25262327102286,240.33890548494264
3,2,9,480.74034247594636,147.0071165724084
4,0,0,125.54867833782626,152.76545787065373
4,0,1,253.80199996450904,195.77767863146005
4,0,2,303.8952099391522,116.55191829064435
4,0,3,179.58809210420685,180.08217780695063
4,0,4,62.03074240619122,118.35894097353096
4,0,5,307.6832735555047,166.20136241799628
4,0,6,286.59153561929867,124.02095237396304
4,0,7,545.1032565414986,174.88432872871766
4,0,8,139.25262327102286,240.33890548494264
4,0,9,480.74034247594636,147.0071165724084
4,1,0,136.24398398802472,208.52141849277376
4,1,1,253.80199996450904,195.77767863146005
4,1,2,303.8952099391522,116.55191829064435
4,1,3,179.58809210420685,180.08217780695063
4,1,4,62.03074240619122,118.35894097353096
4,1,5,307.6832735555047,166.20136241799628
4,1,6,286.59153561929867,124.02095237396304
4,1,7,545.1032565414986,174.88432872871766
4,1,8,139.25262327102286,240.33890548494264
4,1,9,480.74034247594636,147.0071165724084
4,2,0,136.24398398802472,208.52141849277376
4,2,1,253.80199996450904,195.77767863146005
4,2,2,303.8952099391522,116.55191829064435
4,2,3,179.58809210420685,180.08217780695063
4,2,4,62.03074240619122,118.35894097353096
4,2,5,307.6832735555047,166.20136241799628
4,2,6,286.59153561929867,124.02095237396304
4,2,7,545.1032565414986,174.88432872871766
4,2,8,139.25262327102286,240.33890548494264
4,2,9,480.74034247594636,147.0071165724084
5,0,0,201.70243892159453,124.49453138531416
5,0,1,291.90699555702014,199.79376864089048
5,0,2,303.8952099391522,116.55191829064435
5,0,3,179.58809210420685,180.08217780695063
5,0,4,127.71815850811197,171.64484767992778
5,0,5,303.93750342458833,186.22471858205466
5,0,6,410.0845247565856,179.9179161246946
5,0,7,430.8213630288968,181.97634077710632
5,0,8,139.25262327102286,240.33890548494264
5,0,9,206.90946935359088,172.68107119894563
5,1,0,201.70243892159453,124.49453138531416
5,1,1,291.90699555702014,199.79376864089048
5,1,2,303.8952099391522,116.55191829064435
5,1,3,179.58809210420685,180.08217780695063
5,1,4,127.71815850811197,171.64484767992778
5,1,5,303.93750342458833,186.22471858205466
5,1,6,410.0845247565856,179.9179161246946
5,1,7,430.8213630288968,181.97634077710632
5,1,8,139.25262327102286,240.33890548494264
5,1,9,206.90946935359088,172.68107119894563
5,2,0,201.70243892159453,124.49453138531416
5,2,1,291.90699555702014,199.79376864089048
5,2,2,222.9300849039402,214.15469152970212
5,2,3,179.58809210420685,180.08217780695063
5,2,4,127.71815850811197,171.64484767992778
5,2,5,303.93750342458833,186.22471858205466
5,2,6,410.0845247565856,179.9179161246946
5,2,7,430.8213630288968,181.97634077710632
5,2,8,402.86202260864127,340.4765676123924
5,2,9,206.90946935359088,172.68107119894563
6,0,0,201.70243892159453,124.49453138531416
6,0,1,291.90699555702014,199.79376864089048
6,0,2,217.53798437217918,228.42882449243416
6,0,3,179.58809210420685,180.08217780695063
6,0,4,127.71815850811197,171.64484767992778
6,0,5,303.93750342458833,186.22471858205466
6,0,6,410.0845247565856,179.9179161246946
6,0,7,430.8213630288968,181.97634077710632
6,0,8,402.86202260864127,340.4765676123924
6,0,9,202.25399219672394,209.36554751457876
6,1,0,201.70243892159453,124.49453138531416
6,1,1,291.90699555702014,199.79376864089048
6,1,2,217.53798437217918,228.42882449243416
6,1,3,179.58809210420685,180.08217780695063
6,1,4,127.71815850811197,171.64484767992778
6,1,5,303.93750342458833,186.22471858205466
6,1,6,410.0845247565856,179.9179161246946
6,1,7,430.8213630288968,181.97634077710632
6,1,8,402.86202260864127,340.4765676123924
6,1,9,202.25399219672394,209.36554751457876
6,2,0,201.70243892159453,124.49453138531416
6,2,1,291.90699555702014,199.79376864089048
6,2,2,217.53798437217918,228.42882449243416
6,2,3,179.58809210420685,180.08217780695063
6,2,4,127.71815850811197,171.64484767992778
6,2,5,303.93750342458833,186.22471858205466
6,2,6,410.0845247565856,179.9179161246946
6,2,7,430.8213630288968,181.97634077710632
6,2,8,402.86202260864127,340.4765676123924
6,2,9,202.25399219672394,209.36554751457876
7,0,0,201.70243892159453,124.49453138531416
7,0,1,299.4810349735268,192.42915750677008
7,0,2,217.53798437217918,228.42882449243416
7,0,3,179.58809210420685,180.08217780695063
7,0,4,127.71815850811197,171.64484767992778
7,0,5,303.93750342458833,186.22471858205466
7,0,6,407.5795709257074,235.54825981107453
7,0,7,380.35518549483174,181.85734193455505
7,0,8,402.86202260864127,340.4765676123924
7,0,9,184.8906969887386,227.92395080162026
7,1,0,201.70243892159453,124.49453138531416
7,1,1,299.4810349735268,192.42915750677008
7,1,2,217.53798437217918,228.42882449243416
7,1,3,179.58809210420685,180.08217780695063
7,1,4,127.71815850811197,171.64484767992778
7,1,5,303.93750342458833,186.22471858205466
7,1,6,407.5795709257074,235.54825981107453
7,1,7,380.35518549483174,181.85734193455505
7,1,8,402.86202260864127,340.4765676123924
7,1,9,184.8906969887386,227.92395080162026
7,2,0,201.70243892159453,124.49453138531416
7,2,1,299.4810349735268,192.42915750677008
7,2,2,217.53798437217918,228.42882449243416
7,2,3,450.24774345855326,463.7107243067266
7,2,4,127.71815850811197,171.64484767992778
7,2,5,303.93750342458833,186.22471858205466
7,2,6,407.5795709257074,235.54825981107453
7,2,7,380.35518549483174,181.85734193455505
7,2,8,402.86202260864127,340.4765676123924
7,2,9,184.8906969887386,227.92395080162026
8,0,0,201.70243892159453,124.49453138531416
8,0,1,299.4810349735268,192.42915750677008
8,0,2,249.8950308930858,264.0178793819077
8,0,3,450.24774345855326,463.7107243067266
8,0,4,127.71815850811197,171.64484767992778
8,0,5,303.93750342458833,186.22471858205466
8,0,6,407.5795709257074,235.54825981107453
8,0,7,426.3589527078626,178.33268984853248
8,0,8,402.86202260864127,340.4765676123924
8,0,9,184.8906969887386,227.92395080162026
8,1,0,201.70243892159453,124.49453138531416
8,1,1,299.4810349735268,192.42915750677008
8,1,2,249.8950308930858,264.0178793819077
8,1,3,450.24774345855326,463.7107243067266
8,1,4,127.71815850811197,171.64484767992778
8,1,5,303.93750342458833,186.22471858205466
8,1,6,407.5795709257074,235.54825981107453
8,1,7,426.3589527078626,178.33268984853248
8,1,8,402.86202260864127,340.4765676123924
8,1,9,184.8906969887386,227.92395080162026
8,2,0,201.70243892159453,124.49453138531416
8,2,1,299.4810349735268,192.42915750677008
8,2,2,249.8950308930858,264.0178793819077
8,2,3,450.24774345855326,463.7107243067266
8,2,4,127.71815850811197,171.64484767992778
8,2,5,303.93750342458833,186.22471858205466
8,2,6,407.5795709257074,235.54825981107453
8,2,7,426.3589527078626,178.33268984853248
8,2,8,402.86202260864127,340.4765676123924
8,2,9,184.8906969887386,227.92395080162026
9,0,0,201.70243892159453,124.49453138531416
9,0,1,299.4810349735268,192.42915750677008
9,0,2,249.8950308930858,264.0178793819077
9,0,3,303.2304815729773,283.6228144316579
9,0,4,127.71815850811197,171.64484767992778
9,0,5,303.93750342458833,186.22471858205466
9,0,6,407.5795709257074,235.54825981107453
9,0,7,426.3589527078626,178.33268984853248
9,0,8,402.86202260864127,340.4765676123924
9,0,9,233.78344287754953,274.15865276360995
9,1,0,201.70243892159453,124.49453138531416
9,1,1,299.4810349735268,192.42915750677008
9,1,2,249.8950308930858,264.0178793819077
9,1,3,303.2304815729773,283.6228144316579
9,1,4,127.71815850811197,171.64484767992778
9,1,5,303.93750342458833,186.22471858205466
9,1,6,407.5795709257074,235.54825981107453
9,1,7,426.3589527078626,178.33268984853248
9,1,8,402.86202260864127,340.4765676123924
9,1,9,233.78344287754953,274.15865276360995
9,2,0,201.70243892159453,124.49453138531416
9,2,1,299.4810349735268,192.42915750677008
9,2,2,249.8950308930858,264.0178793819077
9,2,3,303.2304815729773,283.6228144316579
9,2,4,127.71815850811197,171.64484767992778
9,2,5,303.93750342458833,186.22471858205466
9,2,6,407.5795709257074,235.54825981107453
9,2,7,426.3589527078626,178.33268984853248
9,2,8,348.8771404165189,77.29190717636598
9,2,9,233.78344287754953,274.15865276360995
