Iteration,Phase,Id,Fitness
0,0,0,-1.5315694209607837
0,0,1,-0.5654873874879266
0,0,2,-0.012509454498823028
0,0,3,-0.006450591778297689
0,0,4,-0.004356482545371664
0,0,5,-0.1015391748341406
0,0,6,-2.4077106083972052e-08
0,0,7,-0.784390539975021
0,0,8,-0.6952387349477684
0,0,9,-0.0001871150627949449
0,1,0,-1.5315694209607837
0,1,1,-0.5654873874879266
0,1,2,-0.012509454498823028
0,1,3,-0.006450591778297689
0,1,4,-0.004356482545371664
0,1,5,-0.1015391748341406
0,1,6,-2.4077106083972052e-08
0,1,7,-0.784390539975021
0,1,8,-0.6952387349477684
0,1,9,-0.0001871150627949449
0,2,0,-1.5315694209607837
0,2,1,-0.5654873874879266
0,2,2,-0.012509454498823028
0,2,3,-0.006450591778297689
0,2,4,-0.004356482545371664
0,2,5,-0.1015391748341406
0,2,6,-2.4077106083972052e-08
0,2,7,-0.784390539975021
0,2,8,-0.6952387349477684
0,2,9,-0.0001871150627949449
1,0,0,-1.5315694209607837
1,0,1,-0.5654873874879266
1,0,2,-0.016781419742172173
1,0,3,-0.22283182046598726
1,0,4,-0.004356482545371664
1,0,5,-0.1015391748341406
1,0,6,-0.31793131942507524
1,0,7,-0.784390539975021
1,0,8,-0.7893256789956947
1,0,9,-0.9819161766096836
1,1,0,-1.5315694209607837
1,1,1,-0.5654873874879266
1,1,2,-0.016781419742172173
1,1,3,-0.22283182046598726
1,1,4,-0.004356482545371664
1,1,5,-0.1015391748341406
1,1,6,-0.31793131942507524
1,1,7,-0.784390539975021
1,1,8,-0.7893256789956947
1,1,9,-0.9819161766096836
1,2,0,-1.5315694209607837
1,2,1,-0.5654873874879266
1,2,2,-0.016781419742172173
1,2,3,-0.22283182046598726
1,2,4,-0.004356482545371664
1,2,5,-0.1015391748341406
1,2,6,-0.31793131942507524
1,2,7,-0.784390539975021
1,2,8,-0.7893256789956947
1,2,9,-0.9819161766096836
2,0,0,-1.5315694209607837
2,0,1,-0.7652709517977236
2,0,2,-0.016781419742172173
2,0,3,-0.6827615018365726
2,0,4,-0.2774616720039679
2,0,5,-0.1015391748341406
2,0,6,-0.31793131942507524
2,0,7,-0.784390539975021
2,0,8,-0.7893256789956947
2,0,9,-0.9990400391669528
2,1,0,-1.5315694209607837
2,1,1,-0.7652709517977236
2,1,2,-0.016781419742172173
2,1,3,-0.6827615018365726
2,1,4,-0.2774616720039679
2,1,5,-0.1015391748341406
2,1,6,-0.31793131942507524
2,1,7,-0.784390539975021
2,1,8,-0.7893256789956947
2,1,9,-0.9990400391669528
2,2,0,-1.5315694209607837
2,2,1,-0.7652709517977236
2,2,2,-0.016781419742172173
2,2,3,-0.6827615018365726
2,2,4,-0.2774616720039679
2,2,5,-0.1015391748341406
2,2,6,-0.31793131942507524
2,2,7,-0.784390539975021
2,2,8,-0.7893256789956947
2,2,9,-0.9990400391669528
3,0,0,-1.5315694209607837
3,0,1,-0.7652709517977236
3,0,2,-0.69094267567855
3,0,3,-1.2651828019168665
3,0,4,-0.2774616720039679
3,0,5,-0.1015391748341406
3,0,6,-0.31793131942507524
3,0,7,-0.7960046630425314
3,0,8,-0.7893256789956947
3,0,9,-0.9990400391669528
3,1,0,-1.5315694209607837
3,1,1,-0.7652709517977236
3,1,2,-0.69094267567855
3,1,3,-1.2651828019168665
3,1,4,-0.2774616720039679
3,1,5,-0.1015391748341406
3,1,6,-0.31793131942507524
3,1,7,-0.7960046630425314
3,1,8,-0.7893256789956947
3,1,9,-0.9990400391669528
3,2,0,-0.6062568889490542
3,2,1,-0.7652709517977236
3,2,2,-0.69094267567855
3,2,3,-1.2651828019168665
3,2,4,-0.2774616720039679
3,2,5,-0.1015391748341406
3,2,6,-0.31793131942507524
3,2,7,-0.7960046630425314
3,2,8,-0.7893256789956947
3,2,9,-0.9990400391669528
4,0,0,-0.6062568889490542
4,0,1,-0.7652709517977236
4,0,2,-0.69094267567855
4,0,3,-1.2651828019168665
4,0,4,-0.3725267106460639
4,0,5,-0.1015391748341406
4,0,6,-0.31793131942507524
4,0,7,-0.7960046630425314
4,0,8,-0.7893256789956947
4,0,9,-0.9990400391669528
4,1,0,-0.6062568889490542
4,1,1,-0.7652709517977236
4,1,2,-0.69094267567855
4,1,3,-1.2651828019168665
4,1,4,-0.3725267106460639
4,1,5,-0.1015391748341406
4,1,6,-0.31793131942507524
4,1,7,-0.7960046630425314
4,1,8,-0.7893256789956947
4,1,9,-0.9990400391669528
4,2,0,-0.6062568889490542
4,2,1,-0.7652709517977236
4,2,2,-0.69094267567855
4,2,3,-1.2651828019168665
4,2,4,-0.3725267106460639
4,2,5,-0.1015391748341406
4,2,6,-0.31793131942507524
4,2,7,-0.7960046630425314
4,2,8,-0.7893256789956947
4,2,9,-0.9990400391669528
5,0,0,-0.8945396334668854
5,0,1,-0.996927955295124
5,0,2,-0.7197830932202461
5,0,3,-1.2651828019168665
5,0,4,-0.3725267106460639
5,0,5,-0.1015391748341406
5,0,6,-0.9980481887962555
5,0,7,-0.7960046630425314
5,0,8,-0.7893256789956947
5,0,9,-0.9990400391669528
5,1,0,-0.8945396334668854
5,1,1,-0.996927955295124
5,1,2,-0.7197830932202461
5,1,3,-1.2651828019168665
5,1,4,-0.3725267106460639
5,1,5,-0.1015391748341406
5,1,6,-0.9980481887962555
5,1,7,-0.7960046630425314
5,1,8,-0.7893256789956947
5,1,9,-0.9990400391669528
5,2,0,-0.8945396334668854
5,2,1,-0.996927955295124
5,2,2,-0.7197830932202461
5,2,3,-1.2651828019168665
5,2,4,-0.3725267106460639
5,2,5,-0.00019959720206505342
5,2,6,-0.9980481887962555
5,2,7,-0.7960046630425314
5,2,8,-0.7893256789956947
5,2,9,-0.9990400391669528
6,0,0,-0.8945396334668854
6,0,1,-0.996927955295124
6,0,2,-0.7197830932202461
6,0,3,-1.2651828019168665
6,0,4,-0.3725267106460639
6,0,5,-0.10029494076274653
6,0,6,-0.9980481887962555
6,0,7,-0.7960046630425314
6,0,8,-0.7893256789956947
6,0,9,-0.9990400391669528
6,1,0,-0.8945396334668854
6,1,1,-0.996927955295124
6,1,2,-0.7197830932202461
6,1,3,-1.2651828019168665
6,1,4,-0.3725267106460639
6,1,5,-0.10029494076274653
6,1,6,-0.9980481887962555
6,1,7,-0.7960046630425314
6,1,8,-0.7893256789956947
6,1,9,-0.9990400391669528
6,2,0,-0.8945396334668854
6,2,1,-0.996927955295124
6,2,2,-0.7197830932202461
6,2,3,-1.2651828019168665
6,2,4,-0.3725267106460639
6,2,5,-0.10029494076274653
6,2,6,-0.9980481887962555
6,2,7,-0.7960046630425314
6,2,8,-0.027430156233330706
6,2,9,-0.9990400391669528
7,0,0,-0.8945396334668854
7,0,1,-0.996927955295124
7,0,2,-0.7197830932202461
7,0,3,-1.2651828019168665
7,0,4,-0.3725267106460639
7,0,5,-0.10029494076274653
7,0,6,-0.9980481887962555
7,0,7,-0.7960046630425314
7,0,8,-0.30948049523947074
7,0,9,-0.9990400391669528
7,1,0,-0.8945396334668854
7,1,1,-0.996927955295124
7,1,2,-0.7197830932202461
7,1,3,-1.2651828019168665
7,1,4,-0.3725267106460639
7,1,5,-0.10029494076274653
7,1,6,-0.9980481887962555
7,1,7,-0.7960046630425314
7,1,8,-0.30948049523947074
7,1,9,-0.9990400391669528
7,2,0,-0.8945396334668854
7,2,1,-0.996927955295124
7,2,2,-0.7197830932202461
7,2,3,-0.001972483483391355
7,2,4,-0.3725267106460639
7,2,5,-0.10029494076274653
7,2,6,-0.9980481887962555
7,2,7,-0.7960046630425314
7,2,8,-0.30948049523947074
7,2,9,-0.7947336877844609
8,0,0,-0.8945396334668854
8,0,1,-0.996927955295124
8,0,2,-0.7197830932202461
8,0,3,-0.11991407033321766
8,0,4,-0.3725267106460639
8,0,5,-0.7674723775723034
8,0,6,-0.9980481887962555
8,0,7,-0.799660297845371
8,0,8,-0.7937849496346607
8,0,9,-0.8022776788832693
8,1,0,-0.8945396334668854
8,1,1,-0.996927955295124
8,1,2,-0.7197830932202461
8,1,3,-0.11991407033321766
8,1,4,-0.3725267106460639
8,1,5,-0.7674723775723034
8,1,6,-0.9980481887962555
8,1,7,-0.799660297845371
8,1,8,-0.7937849496346607
8,1,9,-0.8022776788832693
8,2,0,-0.8945396334668854
8,2,1,-0.996927955295124
8,2,2,-0.7197830932202461
8,2,3,-0.11991407033321766
8,2,4,-0.3725267106460639
8,2,5,-0.7674723775723034
8,2,6,-0.00025293441943156296
8,2,7,-0.799660297845371
8,2,8,-0.7937849496346607
8,2,9,-0.8022776788832693
9,0,0,-0.8945396334668854
9,0,1,-0.996927955295124
9,0,2,-0.7197830932202461
9,0,3,-0.7944421961614322
9,0,4,-0.3725267106460639
9,0,5,-0.7674723775723034
9,0,6,-0.6340858878387554
9,0,7,-0.799660297845371
9,0,8,-0.7937849496346607
9,0,9,-0.8022776788832693
9,1,0,-0.8945396334668854
9,1,1,-1.6894595894889743
9,1,2,-0.7197830932202461
9,1,3,-0.7944421961614322
9,1,4,-0.3725267106460639
9,1,5,-0.7674723775723034
9,1,6,-0.6340858878387554
9,1,7,-0.799660297845371
9,1,8,-0.7937849496346607
9,1,9,-0.8022776788832693
9,2,0,-0.011596672783401717
