Iteration,Phase,Id,Fitness
0,0,0,-12.525303115830187
0,0,1,-10.8008839783818
0,0,2,-15.142995593525256
0,0,3,-14.11572356452065
0,0,4,-16.245742943443663
0,0,5,-13.091035549134165
0,0,6,-14.35210732156194
0,0,7,-13.999419525927195
0,0,8,-12.9115980008941
0,0,9,-15.92638604619226
0,0,10,-9.609520873725616
0,0,11,-12.79171879155088
0,0,12,-13.589531630917808
0,0,13,-12.833882331886716
0,0,14,-10.999176383669697
0,0,15,-9.530552100797683
0,0,16,-12.530118488227298
0,0,17,-13.898501301104663
0,0,18,-12.84824830424083
0,0,19,-7.657192015563179
0,0,20,-10.767300325553872
0,0,21,-16.662011251823042
0,0,22,-11.088637828850121
0,0,23,-11.856317876674652
0,0,24,-15.533542302406254
0,0,25,-12.797436022880689
0,0,26,-9.75748141265544
0,0,27,-13.359981299554448
0,0,28,-12.470461178222749
0,0,29,-14.46411392192207
0,0,30,-16.65698915871184
0,0,31,-14.539298355631441
0,0,32,-8.881403112307463
0,0,33,-9.800155270970137
0,0,34,-11.523468523366082
0,0,35,-9.975632211700697
0,0,36,-11.729249387502565
0,0,37,-9.177293685619823
0,0,38,-11.236178998557039
0,0,39,-9.021078137441464
0,1,0,-12.525303115830187
0,1,1,-10.8008839783818
0,1,2,-15.188101104440513
0,1,3,-17.501302683462214
0,1,4,-17.662768307347644
0,1,5,-13.091035549134165
0,1,6,-14.35210732156194
0,1,7,-13.999419525927195
0,1,8,-12.9115980008941
0,1,9,-17.839561031634187
0,1,10,-9.609520873725616
0,1,11,-12.79171879155088
0,1,12,-13.589531630917808
0,1,13,-15.483642430454847
0,1,14,-10.999176383669697
0,1,15,-17.711783274869063
0,1,16,-12.530118488227298
0,1,17,-15.186387919700621
0,1,18,-13.129954211826632
0,1,19,-7.657192015563179
0,1,20,-10.767300325553872
0,1,21,-17.629251972368024
0,1,22,-11.088637828850121
0,1,23,-12.04229106384604
0,1,24,-16.3863490945474
0,1,25,-12.797436022880689
0,1,26,-9.75748141265544
0,1,27,-16.633087012396867
0,1,28,-15.274505540505203
0,1,29,-17.653621513244822
0,1,30,-16.65698915871184
0,1,31,-14.539298355631441
0,1,32,-8.881403112307463
0,1,33,-9.800155270970137
0,1,34,-11.523468523366082
0,1,35,-9.975632211700697
0,1,36,-18.53211673008756
0,1,37,-9.177293685619823
0,1,38,-11.236178998557039
0,1,39,-9.021078137441464
0,2,0,-12.525303115830187
0,2,1,-10.8008839783818
0,2,2,-15.188101104440513
0,2,3,-17.501302683462214
0,2,4,-17.662768307347644
0,2,5,-13.091035549134165
0,2,6,-14.35210732156194
0,2,7,-13.999419525927195
0,2,8,-12.9115980008941
0,2,9,-17.839561031634187
0,2,10,-9.609520873725616
0,2,11,-12.79171879155088
0,2,12,-13.589531630917808
0,2,13,-15.483642430454847
0,2,14,-10.999176383669697
0,2,15,-17.711783274869063
0,2,16,-12.530118488227298
0,2,17,-15.186387919700621
0,2,18,-13.129954211826632
0,2,19,-7.657192015563179
0,2,20,-10.767300325553872
0,2,21,-17.629251972368024
0,2,22,-11.088637828850121
0,2,23,-12.04229106384604
0,2,24,-16.3863490945474
0,2,25,-12.797436022880689
0,2,26,-9.75748141265544
0,2,27,-16.633087012396867
0,2,28,-15.274505540505203
0,2,29,-17.653621513244822
0,2,30,-16.65698915871184
0,2,31,-14.539298355631441
0,2,32,-8.881403112307463
0,2,33,-9.800155270970137
0,2,34,-11.523468523366082
0,2,35,-9.975632211700697
0,2,36,-18.53211673008756
0,2,37,-9.177293685619823
0,2,38,-11.236178998557039
0,2,39,-9.021078137441464
1,0,0,-15.850052626544965
1,0,1,-10.8008839783818
1,0,2,-15.188101104440513
1,0,3,-17.501302683462214
1,0,4,-17.662768307347644
1,0,5,-13.091035549134165
1,0,6,-17.728122416848922
1,0,7,-13.999419525927195
1,0,8,-12.9115980008941
1,0,9,-18.408221169374166
1,0,10,-9.609520873725616
1,0,11,-12.79171879155088
1,0,12,-15.322443625426992
1,0,13,-15.483642430454847
1,0,14,-11.048518786090613
1,0,15,-17.711783274869063
1,0,16,-12.530118488227298
1,0,17,-15.186387919700621
1,0,18,-13.480478211943383
1,0,19,-9.76365076421732
1,0,20,-10.767300325553872
1,0,21,-18.393814943187742
1,0,22,-12.246792654815831
1,0,23,-12.470709523828805
1,0,24,-16.3863490945474
1,0,25,-13.722975553861163
1,0,26,-9.75748141265544
1,0,27,-19.27970540222629
1,0,28,-15.274505540505203
1,0,29,-17.653621513244822
1,0,30,-16.65698915871184
1,0,31,-16.174790738512954
1,0,32,-9.408934415778978
1,0,33,-12.334487570856776
1,0,34,-11.523468523366082
1,0,35,-9.975632211700697
1,0,36,-18.57828281671742
1,0,37,-9.177293685619823
1,0,38,-12.260235883617675
1,0,39,-9.021078137441464
1,1,0,-19.525178749576483
1,1,1,-10.8008839783818
1,1,2,-15.188101104440513
1,1,3,-17.501302683462214
1,1,4,-17.798706876186692
1,1,5,-13.091035549134165
1,1,6,-17.728122416848922
1,1,7,-13.999419525927195
1,1,8,-12.9115980008941
1,1,9,-18.408221169374166
1,1,10,-9.609520873725616
1,1,11,-12.79171879155088
1,1,12,-15.322443625426992
1,1,13,-15.483642430454847
1,1,14,-11.048518786090613
1,1,15,-17.711783274869063
1,1,16,-12.530118488227298
1,1,17,-15.186387919700621
1,1,18,-13.480478211943383
1,1,19,-9.76365076421732
1,1,20,-14.744032276392815
1,1,21,-18.91818523559572
