"Iteration","Best","Average"
0,-17.6426100457592,-15.0010445371178
1,-18.3460123717097,-16.5378404584959
2,-18.3681802375626,-17.2466620565246
3,-18.3840544070038,-17.2709508038295
4,-18.4061381235917,-17.3428570057999
5,-18.4239944643101,-18.1935058834397
6,-18.4440688500692,-18.4120955149781
7,-18.4817296742343,-18.4462136707502
8,-18.4961144924855,-18.4630346363826
9,-18.5200885565904,-18.4864052094512
10,-18.5450361497879,-18.509689695452
11,-18.5587881632731,-18.5209176908848
12,-18.5718105822784,-18.5481081239261
13,-18.5961571509484,-18.5673623230478
14,-18.61776417896,-18.5916685745173
15,-18.6361695093804,-18.6031569822625
16,-18.6815909832515,-18.6418404668412
17,-18.6984829921647,-18.6661563308642
18,-18.7280936681074,-18.6944341684952
19,-18.7549316112685,-18.7230830683912
20,-18.7829571412775,-18.7414668026856
21,-18.8094974380324,-18.7688552771149
22,-18.8253454905557,-18.7888815193315
23,-18.8455337206523,-18.8124838363609
24,-18.856303182772,-18.8349356587714
25,-18.8750354205846,-18.8431808513064
26,-18.8963446265502,-18.8655582796923
27,-18.9178982279598,-18.8864800836661
28,-18.956195015984,-18.9192451604837
29,-18.9849224050081,-18.9448505914024
30,-19.0222554326833,-18.9716260292221
31,-19.0463476111445,-18.9986422059396
32,-19.0736096108941,-19.0323283580062
33,-19.0961252221075,-19.0586918972649
34,-19.1224336030518,-19.0754306344829
35,-19.1454357910808,-19.1056049576341
36,-19.1673627606842,-19.1286957719119
37,-19.1845104590767,-19.1477451840265
38,-19.2058068832294,-19.1660780792265
39,-19.2383603972347,-19.1980965820712
40,-19.2472079484227,-19.2140164305006
41,-19.2617072237588,-19.2306184810077
42,-19.2855442855838,-19.2509282662113
43,-19.2975152846471,-19.2666082407887
44,-19.3334296867935,-19.2968850210955
45,-19.3485847798757,-19.3216658402104
46,-19.3592344218423,-19.3339555826092
47,-19.3780781418331,-19.3546895288271
48,-19.3797419972137,-19.3640502206684
49,-19.4017488565103,-19.3781825920867
50,-19.4267421866912,-19.4008760010945
51,-19.440187920702,-19.4119018770428
52,-19.4547136455931,-19.421320489657
53,-19.4688971871261,-19.4426760376493
54,-19.4831322561169,-19.458256094683
55,-19.5047904518512,-19.4742055351074
56,-19.5563637381781,-19.5086272999757
57,-19.5703573776058,-19.5358749368336
58,-19.5914381325822,-19.5467721538673
59,-19.605513700243,-19.5667908360531
