"Iteration","Best","Average"
0,-18.5321167300876,-13.0380586112014
1,-19.5251787495765,-14.0993912008312
2,-19.5251787495765,-15.0199022735282
3,-19.7939890880978,-15.9926296340038
4,-19.8932220151483,-16.8585310632566
5,-19.8932220151483,-16.65595709351
6,-19.8852755296108,-15.9916268720248
7,-19.807418412272,-15.9873169974659
8,-19.8239797384596,-15.6579746558619
9,-19.9258102793274,-15.647306578038
10,-19.9258102793274,-15.8201316081561
11,-19.9258102793274,-15.8497269458696
12,-19.7102097007191,-16.7671569820705
13,-19.9241103649647,-17.2853570399043
14,-19.940403121787,-17.0952554781543
15,-19.940403121787,-17.355451946107
16,-19.9614082253093,-17.6647510508281
17,-19.9725763342926,-17.4856241731333
18,-19.9939043408206,-17.1738034024596
19,-19.9939043408206,-16.8451688854841
20,-19.9939043408206,-16.67182379209
21,-19.9939043408206,-16.8861541893826
22,-19.8504386881075,-16.7133484498358
23,-19.8104950622428,-16.3909898275242
24,-19.8863491349933,-16.3006166129313
25,-19.8863491349933,-16.2141119242178
26,-19.8863491349933,-16.3490193219071
27,-19.8774251026606,-16.2698118403216
28,-19.8774251026606,-16.5150750375567
29,-19.7978908090099,-16.3004099532863
30,-19.7978908090099,-15.8971790540589
31,-19.7978908090099,-15.7123166109768
32,-19.6488515303705,-15.4653376533199
33,-19.9503678006463,-15.3705810633273
34,-19.9503678006463,-15.138834496703
35,-19.8661139383485,-15.2475416516034
36,-19.6490182461968,-15.2174797832731
37,-19.8246581609662,-15.5972887561637
38,-19.8246581609662,-16.3181353431416
39,-19.7207033929562,-16.4808287379514
40,-19.8446815069853,-16.6299979329641
41,-19.8446815069853,-17.0375062664679
42,-19.8446815069853,-16.667913445769
43,-19.75055543279,-16.766986996623
44,-19.836683972553,-17.0753468390026
45,-19.836683972553,-17.1734068513331
46,-19.9740044985917,-17.1646560955908
47,-19.9740044985917,-17.0427362557016
48,-19.9740044985917,-16.619177325235
49,-19.8803625406243,-16.0289699808257
50,-19.8803625406243,-15.753381143628
51,-19.6412887780894,-15.6221457504525
52,-19.5982992523459,-15.662351779513
53,-19.8680886745666,-16.1659507805498
54,-19.8680886745666,-16.3419882359632
55,-19.77023616538,-16.020788093633
56,-19.8410377837974,-15.6374226435119
57,-19.8410377837974,-16.1172458147191
58,-19.7556916637385,-16.3335328554645
59,-19.7842123634518,-16.924414263926
