"Iteration","Best","Average"
0,-18.5797629083871,-12.3944230096286
1,-18.9082077637762,-12.4364881827719
2,-19.1362491656042,-14.0707948819978
3,-19.7305864842726,-15.5752556420531
4,-19.8149925945796,-16.8549448478657
5,-19.9147567172298,-17.6192345259594
6,-19.7570021716905,-18.2070659935302
7,-19.7858692140178,-18.6960750129206
8,-19.9028458929033,-19.0681263031749
9,-19.9235101358581,-19.3304545673763
10,-19.9421898162648,-19.5223722524692
11,-19.9686986967542,-19.6157322059957
12,-19.9745156458409,-19.6410600997842
13,-19.9745156458409,-19.6368893025521
14,-19.9813770760733,-19.6877578585868
15,-19.989341756799,-19.7499733270745
16,-19.9954414042463,-19.8098639356532
17,-19.9954414042463,-19.8118693033267
18,-19.9908343928345,-19.8114685356891
19,-19.9908343928345,-19.8224541874828
20,-19.9739913821934,-19.8160538339368
21,-19.9883908738954,-19.8436704723069
22,-19.9883908738954,-19.8557362407445
23,-19.9826310558647,-19.8385209513288
24,-19.9846563548998,-19.8321096448372
25,-19.9855464910585,-19.841781865651
26,-19.9907141406113,-19.8414649918286
27,-19.9944320950709,-19.8609436397741
28,-19.9948930348639,-19.88051533489
29,-19.9963038139779,-19.883993975385
30,-19.9963739107491,-19.8839869229486
31,-19.9963739107491,-19.8856343880241
32,-19.9951235699703,-19.884306739191
33,-19.9962314593154,-19.8964183165386
34,-19.9962314593154,-19.9077525557677
35,-19.9959566125298,-19.9089379407678
36,-19.9950802600663,-19.9070635257578
37,-19.9950802600663,-19.9087489119658
38,-19.99428290966,-19.9100314031509
39,-19.9934828985846,-19.9140711775691
40,-19.9945341615937,-19.9151880234761
41,-19.997072528125,-19.9137168087319
42,-19.997072528125,-19.9241263197114
43,-19.9965270607808,-19.9286149220771
44,-19.9963736806514,-19.929634731212
45,-19.9903483367149,-19.934036298774
46,-19.9905086651899,-19.9398972504239
47,-19.9905086651899,-19.9419925388481
48,-19.9888579833683,-19.9436312530182
49,-19.9888579833683,-19.9446918235891
50,-19.9905493193982,-19.9475980683645
51,-19.992395301504,-19.9495694273909
52,-19.9938318822438,-19.9492228966662
53,-19.9938318822438,-19.9487047915689
54,-19.9939071941364,-19.949608983103
55,-19.9939959278714,-19.9507363646449
56,-19.9941456351895,-19.9557251234283
57,-19.9941456351895,-19.9572655734831
58,-19.9940433811922,-19.9595660179161
59,-19.9941017763208,-19.9631753316268
