"Iteration","Best","Average"
0,1.29839162305079,8.69363336836938
1,0.136770769974008,2.88268798206802
2,0.132175745420916,0.813491935027404
3,0.128189352174711,0.475450576699897
4,0.121328598635552,0.157080859479055
5,0.114978753744938,0.122334454385787
6,0.112994301394055,0.119300955173855
7,0.10842209410052,0.11560839237407
8,0.101963092281553,0.111750717615587
9,0.0940029738269099,0.104791371549582
10,0.0891916154046108,0.0986495739785733
11,0.0851306514689693,0.0930930905707622
12,0.0830217596585925,0.0887866847551281
13,0.0784753923882807,0.0847338898672077
14,0.074175287333742,0.0795925110583212
15,0.0697396299352657,0.0748359355464695
16,0.0628073872855981,0.0689054141121407
17,0.0597352406746003,0.0656457819043601
18,0.054838823225339,0.0607424302879023
19,0.0506016806622266,0.0565074966767992
20,0.0455083091340211,0.0512648111481354
21,0.0422014269913542,0.0479575885822702
22,0.039553125734904,0.0443386500596692
23,0.036423349247808,0.0406633532419904
24,0.0331586787795036,0.0374407020067247
25,0.0298007467340468,0.033546621391088
26,0.0254704141878195,0.0301552267764341
27,0.0234772943631406,0.0273337349914478
28,0.0211121965503971,0.0249622646265792
29,0.0186915867177,0.0228225763045137
30,0.0163905396651319,0.0203948661544992
31,0.0142224122762379,0.0180194736993772
32,0.0128427859411525,0.0159301293888071
33,0.0122068266256829,0.0140347137455358
34,0.010871841040367,0.0131076468339414
35,0.0087117480292313,0.0117168085204055
36,0.00663657376178147,0.00901160273087855
37,0.00531033453392547,0.00716065514312133
38,0.00413880545368229,0.00614698212005394
39,0.00304218745990446,0.00524256701132067
40,0.00216434421915788,0.00380727076273078
41,0.00185735770408147,0.00318921617681477
42,0.00112173645262078,0.00234491874976063
43,0.000573786315088197,0.0015693203523281
44,0.000259597254028447,0.000799293321744635
45,5.4174123242079e-05,0.000504585661032338
46,2.93709895932638e-06,0.000272648316659077
47,7.78772647670549e-09,0.000176051450697401
48,7.78772647670549e-09,4.23998398341517e-05
49,7.78772647670549e-09,9.70420217149734e-06
50,7.78772647670549e-09,5.01217305503723e-06
51,7.78772647670549e-09,3.89916987673885e-06
52,7.78772647670549e-09,3.77219012291662e-06
53,7.78772647670549e-09,3.66153514081422e-06
54,7.78772647670549e-09,5.55682016070394e-07
55,7.78772647670549e-09,4.86369254669879e-07
56,7.78772647670549e-09,4.53747872790513e-07
57,7.78772647670549e-09,3.82481131963396e-07
58,7.78772647670549e-09,3.48918072609204e-07
59,7.78772647670549e-09,3.36562156572612e-07
