"Iteration","Best","Average"
0,0.58404450616801,15.830558510387
1,0.027719111296612,4.71629134466888
2,0.00095211284424673,1.88700585755061
3,0.000216913479520747,1.06927118335366
4,4.01515907398393e-06,0.244433225714475
5,4.01515907398393e-06,0.116274506319575
6,1.90743347123707e-07,0.0200657377917753
7,7.46394851281852e-08,0.00382529094123705
8,4.22069908438794e-09,0.000686812620386218
9,1.31134110299301e-10,9.26139346080348e-05
10,5.71903709932185e-12,1.32282339997976e-05
11,5.71903709932185e-12,1.38244201483409e-06
12,4.03135485608071e-12,2.95610379286196e-07
13,2.69120569078263e-12,1.68149199725591e-07
14,9.34364181646878e-13,1.3515386175051e-08
15,4.22636195815078e-13,3.6145576293249e-10
16,1.33828442470016e-13,2.20142883419796e-11
17,5.88424258566646e-14,5.58915348367679e-12
18,4.39946627990464e-14,4.72188280147154e-13
19,2.60108795209329e-14,9.02535875510569e-14
20,1.2473917440993e-14,3.55122101898665e-14
21,9.13074934630506e-15,1.57128515838578e-14
22,5.95059320818077e-15,9.90636715379665e-15
23,2.99425745356728e-15,5.85337870838041e-15
24,1.75582577817474e-15,3.42369365429211e-15
25,7.55849036406193e-16,1.54206431797986e-15
26,4.26551364317265e-16,8.07287973104903e-16
27,2.68513162039539e-16,4.65271106228447e-16
28,2.0420984106086e-16,3.19688465159695e-16
29,1.31276511834626e-16,2.12978913221805e-16
30,5.97432102246914e-17,1.48057115464527e-16
31,4.39384744131604e-17,7.62013698293311e-17
32,1.69992533996671e-17,4.39836035901624e-17
33,9.00407092554956e-18,1.7673223658066e-17
34,5.5487236616371e-18,9.0804709847838e-18
35,3.84315871424822e-18,5.32515528633487e-18
36,2.82868311809925e-18,3.85695008332129e-18
37,1.76356216716589e-18,2.91017053332242e-18
38,1.40303552628543e-18,1.91978243517843e-18
39,1.03246253117818e-18,1.37349842882618e-18
40,9.03599693161832e-19,1.10827100591066e-18
41,6.73586772367902e-19,9.24881075451309e-19
42,5.71204208506909e-19,7.23444599196472e-19
43,5.10627605986921e-19,5.70235805969845e-19
44,4.56244326985046e-19,5.14402992457802e-19
45,4.30054950959352e-19,4.61642488946974e-19
46,4.16572042863435e-19,4.36035962843131e-19
47,3.78618844794018e-19,4.18353172227999e-19
48,3.46869190093956e-19,3.86326240674223e-19
49,3.3214073303679e-19,3.55201120492221e-19
50,3.22003364565223e-19,3.372671042991e-19
51,3.13829182450386e-19,3.2530445739446e-19
52,3.04315604912976e-19,3.1365529330913e-19
53,3.03095525656092e-19,3.07613206917296e-19
54,2.94414694294592e-19,3.0163547015258e-19
55,2.93072658048316e-19,2.95739957114629e-19
56,2.90661519598907e-19,2.93261861877198e-19
57,2.88633963516805e-19,2.90900120689821e-19
58,2.86118152114609e-19,2.88670248960532e-19
59,2.8540771864066e-19,2.8634589809556e-19
