"Iteration","Best","Average"
0,0.186046120864116,7.41046225898617
1,0.178891744213356,4.14006411341632
2,0.0161255709542811,2.03520930348982
3,0.0150231532479619,1.16428313324035
4,0.0126275688041052,0.325478080200535
5,0.0110855313556046,0.31579180026174
6,0.00823184125956129,0.0203428406010485
7,0.00616702734660603,0.0130884681073477
8,0.00534715133118609,0.0120577460968145
9,0.00388484151671218,0.0100215832498929
10,0.00322126671520739,0.00912877165017703
11,0.00259790123205718,0.00390954292522114
12,0.00164147025416687,0.00288921888096279
13,0.00105682909182483,0.00214286422715764
14,0.000595650387605037,0.00182404386373609
15,0.00024958780100716,0.00113139603380607
16,7.42407447781492e-07,0.000512289628265318
17,3.92757016698515e-08,0.000216233407286549
18,1.44168371318686e-08,0.000152806209647529
19,1.44168371318686e-08,3.38397586158862e-05
20,1.44168371318686e-08,3.37978532731379e-05
21,1.44168371318686e-08,3.37189564910022e-05
22,1.44168371318686e-08,2.75220763778877e-05
23,1.44168371318686e-08,2.73497068378658e-05
24,1.44168371318686e-08,2.72954810255956e-05
25,1.0264256030672e-08,2.72496445295381e-05
26,1.0264256030672e-08,2.72496445295381e-05
27,1.0264256030672e-08,4.00586841808146e-07
28,1.0264256030672e-08,3.44940952375103e-07
29,1.0264256030672e-08,3.05596747237301e-07
30,1.0264256030672e-08,2.58622581963561e-07
31,1.0264256030672e-08,2.46441136427535e-07
32,1.0264256030672e-08,2.36360714314544e-07
33,1.0264256030672e-08,2.28136962386559e-07
34,1.0264256030672e-08,2.28136962386559e-07
35,4.38616894227444e-09,2.140615613625e-07
36,4.38616894227444e-09,2.0040936701018e-07
37,4.38616894227444e-09,1.91477079217599e-07
38,4.38616894227444e-09,1.90735887311977e-07
39,4.38616894227444e-09,1.90735887311977e-07
40,4.38616894227444e-09,1.90735887311977e-07
41,4.38616894227444e-09,1.72966408142999e-07
42,4.38616894227444e-09,1.72966408142999e-07
43,4.38616894227444e-09,1.54333499021689e-07
44,4.38616894227444e-09,1.47375112416953e-07
45,4.38616894227444e-09,1.37842367305184e-07
46,4.38616894227444e-09,1.35023607641347e-07
47,4.38616894227444e-09,1.26870453059671e-07
48,4.38616894227444e-09,1.23683029953083e-07
49,4.38616894227444e-09,1.19339113104538e-07
50,4.38616894227444e-09,1.18346920044775e-07
51,4.38616894227444e-09,1.18346920044775e-07
52,4.38616894227444e-09,1.07771125010114e-07
53,4.38616894227444e-09,1.07161508348787e-07
54,4.38616894227444e-09,9.698987936818e-08
55,4.38616894227444e-09,9.55584568059549e-08
56,4.38616894227444e-09,9.55584568059549e-08
57,4.38616894227444e-09,9.55584568059549e-08
58,4.38616894227444e-09,9.55584568059549e-08
59,4.38616894227444e-09,9.54993993810044e-08
