"Iteration","Best","Average"
0,0.559085655576944,19.8980149131616
1,0.178295663614465,21.2861762180607
2,0.0177299133724223,12.0028991827342
3,0.0144936159918627,6.84265148347875
4,0.0144936159918627,3.98033136800886
5,0.00818660425961102,2.68219524532362
6,0.00818660425961102,1.7695923726509
7,0.00771032730720871,1.18105322813587
8,0.00574319255225114,0.84573315310618
9,0.00574319255225114,0.601771178997389
10,0.00862519655641751,0.440741309178421
11,0.00244830332026386,0.311460451390988
12,0.00509895193563162,0.198655887112942
13,0.00117750040889967,0.127954519109973
14,0.00117750040889967,0.080691401607159
15,8.25281132250569e-07,0.052102676859056
16,8.25281132250569e-07,0.0383017100569387
17,0.000256235940464827,0.0246879515442807
18,4.45554697931382e-05,0.0184870730888622
19,4.45554697931382e-05,0.0126488946697971
20,6.69244455533677e-05,0.00855968789669798
21,1.77747256517253e-05,0.00641752422891826
22,1.35100143977501e-05,0.00563771648730538
23,8.22173289132173e-06,0.00563650625402762
24,7.72686124391266e-06,0.00508690391342715
25,7.72686124391266e-06,0.00562347361290699
26,1.10925895387917e-05,0.00500611840632714
27,1.10925895387917e-05,0.00610004608898225
28,2.06655300294182e-05,0.00694687130813483
29,2.06655300294182e-05,0.0041895010462537
30,6.67265996710135e-05,0.00319205245772615
31,5.1235726346702e-05,0.00237720315505884
32,5.1235726346702e-05,0.00193000807045681
33,3.0034940527766e-05,0.00164280473824065
34,3.0034940527766e-05,0.00156715115418451
35,3.95052099768887e-05,0.00194080533544697
36,3.09783815469835e-05,0.00308916430327651
37,3.09783815469835e-05,0.00168102810919315
38,3.46891266135802e-05,0.00130692344888461
39,3.52536174366877e-05,0.00109782779113916
40,3.19872850182107e-05,0.000964804133274752
41,2.35663218390336e-05,0.000829710067386737
42,2.93814678187201e-05,0.000680261337116337
43,2.86042117224986e-05,0.000605227665557399
44,2.77888459347141e-05,0.000580300732555655
45,1.978863441408e-05,0.000558975888727133
46,1.978863441408e-05,0.000551691130121819
47,3.29612005053895e-05,0.000565371233723775
48,3.29444461885669e-05,0.000580785487129196
49,2.4093462675697e-05,0.000552506527144996
50,2.31968412074599e-05,0.000631549270784464
51,1.48632800151488e-05,0.000662485824173843
52,1.06132919250769e-05,0.00051086683079703
53,9.05582570857658e-06,0.000359615397401367
54,9.05582570857658e-06,0.000313637329296396
55,8.23406976520473e-06,0.000311523436674372
56,5.86602028078889e-06,0.000270659459665083
57,5.6231756787128e-06,0.000229338487038017
58,4.67667479513361e-06,0.000205909369961534
59,4.60468765097855e-06,0.000205003951316398
