"Iteration","Best","Average"
0,0.0269442505643416,7.0325906422816
1,0.0252143302041316,3.2447199172689
2,0.0224170901226914,1.60778325970335
3,0.0206582148750367,0.243306394819978
4,0.0198713460204001,0.0216070408999997
5,0.0190461221561958,0.0206795337851465
6,0.0168368444508258,0.0186990158157222
7,0.0146067205966337,0.016854986825676
8,0.0131482082393523,0.0152432040409297
9,0.0102141408527516,0.0135223818686301
10,0.00726076997118348,0.0112233836455434
11,0.00622479228933686,0.00874557612194177
12,0.00525431571431757,0.00722486214525164
13,0.00387380897346017,0.00582575447227236
14,0.0031920840728689,0.00495179403525116
15,0.00259744897135013,0.00376810783468028
16,0.00141368547602724,0.00277882377887421
17,0.00118799279798685,0.0024665127241574
18,0.000566607619653385,0.00195882150261072
19,0.000378522854496209,0.0011829064203391
20,7.91990897114564e-05,0.000955859150922241
21,2.75074081657835e-05,0.000622002984124731
22,4.25380651360599e-06,0.000296219384749212
23,1.41348128510094e-07,0.000161064377248432
24,4.55293979438037e-08,1.73876894271975e-05
25,2.03199671423615e-08,5.86938640383331e-06
26,2.03199671423615e-08,3.89883157220535e-06
27,2.03199671423615e-08,2.37453198627782e-06
28,2.03199671423615e-08,2.21559062799462e-06
29,9.94935666151988e-09,1.98702045870099e-06
30,9.94935666151988e-09,9.23586013195924e-07
31,9.94935666151988e-09,7.69459868905701e-07
32,9.94935666151988e-09,6.21578426361719e-07
33,9.94935666151988e-09,4.91577682233114e-07
34,9.94935666151988e-09,3.85230325797262e-07
35,9.94935666151988e-09,3.84871942980569e-07
36,9.94935666151988e-09,3.29894965210871e-07
37,9.94935666151988e-09,2.93803105659831e-07
38,6.17341888169787e-09,2.83247079010678e-07
39,6.17341888169787e-09,2.79930104298647e-07
40,7.80856867802222e-10,2.6688970862914e-07
41,7.80856867802222e-10,2.32681889613495e-07
42,7.80856867802222e-10,2.27736188645956e-07
43,7.80856867802222e-10,2.00894411122298e-07
44,7.80856867802222e-10,2.00894411122298e-07
45,7.80856867802222e-10,1.8315862653203e-07
46,7.80856867802222e-10,1.67060719537409e-07
47,7.80856867802222e-10,1.46148600528633e-07
48,7.80856867802222e-10,1.46148600528633e-07
49,7.80856867802222e-10,1.33297638241362e-07
50,7.80856867802222e-10,1.30477145875814e-07
51,7.80856867802222e-10,1.30477145875814e-07
52,7.80856867802222e-10,1.30477145875814e-07
53,7.80856867802222e-10,1.06618718246313e-07
54,7.80856867802222e-10,1.06074981454436e-07
55,7.80856867802222e-10,1.02656699815338e-07
56,7.80856867802222e-10,9.54650957749447e-08
57,7.80856867802222e-10,9.14900518094016e-08
58,7.80856867802222e-10,8.56955888560315e-08
59,7.80856867802222e-10,8.17397194084723e-08
