"Iteration","Best","Average"
0,0.079632522851422,16.8145277317491
1,0.0916731520327731,18.1001297596454
2,0.0113307514001169,10.1656614513957
3,0.0119905361120838,5.58494504612994
4,0.00530682424901524,2.95246500073167
5,0.00310786711688243,1.48839859102228
6,0.00310786711688243,0.62637647429402
7,0.00020964231081046,0.316256633077823
8,0.00020964231081046,0.162368131856593
9,0.000667847776386512,0.103794373902152
10,0.00122264156501201,0.0699936916520523
11,5.37788043925794e-05,0.0530008955704304
12,0.000157934662492544,0.0366252366410173
13,0.000875976152008126,0.027804113740994
14,0.00134296089311713,0.0198392557056095
15,0.000503458916273117,0.0142353508578149
16,0.000565991061728669,0.0107469165946678
17,0.000449380662537076,0.00712425788573283
18,0.000449380662537076,0.00663424620798989
19,0.000305817332175474,0.00674709625507717
20,0.000305817332175474,0.00606969865141428
21,2.21848587274186e-05,0.00649138492132993
22,8.07133823701635e-06,0.00421126981885961
23,8.07133823701635e-06,0.00318243724220347
24,8.39438437958949e-05,0.00269193842048889
25,0.000124578551805679,0.00264509705238924
26,0.000124578551805679,0.00260799030164717
27,9.49807104359521e-05,0.00214135002509006
28,9.27302272461983e-05,0.0017006407722887
29,9.27302272461983e-05,0.00161354417320476
30,6.77613126035651e-05,0.00174291096458303
31,4.77094505871395e-05,0.00141991840790653
32,4.77094505871395e-05,0.00130579861438778
33,0.000104708423565336,0.00153850888623404
34,6.53004877606119e-05,0.00167115624543502
35,6.53004877606119e-05,0.00164165578117519
36,8.33027641810826e-05,0.00194751164246788
37,6.07399264711115e-05,0.00227869943605743
38,6.07399264711115e-05,0.00237420447067259
39,7.30056906510942e-05,0.00201451566895945
40,6.25189726599378e-05,0.00182721276664522
41,6.25189726599378e-05,0.00159310445650918
42,6.34775153145785e-05,0.00152357778229003
43,5.62655515649445e-05,0.00152437770397445
44,2.70342536461711e-05,0.00117399014902868
45,2.27976215626828e-05,0.000887321421943478
46,2.27369363811688e-05,0.000823415682262237
47,2.27369363811688e-05,0.0007395582383914
48,2.65570468797386e-05,0.000727711704137644
49,2.65015810065804e-05,0.000677704350577866
50,2.23160340992396e-05,0.000644517323908368
51,2.04766549364706e-05,0.000658490904521312
52,1.72024210521163e-05,0.000615101521872138
53,1.58531870287555e-05,0.000589860085193421
54,1.14998556243677e-05,0.000498536133100295
55,9.12086704896854e-06,0.000368102232677936
56,9.06152136446681e-06,0.000272986451080188
57,8.79789582792042e-06,0.000249926572861816
58,8.29597749039387e-06,0.000222559467023603
59,3.77110393477254e-06,0.00019361233589386
