"Iteration","Best","Average"
0,-1.64580072190775,-0.940808450976913
1,-1.75693413770761,-1.29370680875745
2,-1.76357588732931,-1.45415775057629
3,-1.84804646403088,-1.72421783417063
4,-1.85261460725128,-1.78503466900295
5,-1.85639990186029,-1.80016728646185
6,-1.91266760020192,-1.83598932383526
7,-1.94682666471488,-1.8609944321743
8,-1.95043417372414,-1.88626710520204
9,-1.9594912753575,-1.94475701971057
10,-1.96148218512121,-1.94728231637815
11,-1.96345360909215,-1.95078894600025
12,-1.96608394282404,-1.95832825214025
13,-1.96864934202572,-1.96541884646123
14,-1.96981468184755,-1.96804674051985
15,-1.9727718809265,-1.97015584626396
16,-1.97452861027047,-1.97268694386239
17,-1.97645505696941,-1.97393265085926
18,-1.97786946269706,-1.97518364028205
19,-1.97953559499527,-1.97696821702886
20,-1.9804687485,-1.97806990092466
21,-1.98275625657343,-1.97989030076304
22,-1.98329649139908,-1.98127556815623
23,-1.98458078333509,-1.98257003174024
24,-1.98625197769758,-1.9846853560528
25,-1.98745639401125,-1.98575506439344
26,-1.98906651024783,-1.98710317665203
27,-1.98959125438093,-1.98793895279691
28,-1.99039023195639,-1.98907818896529
29,-1.99177764347032,-1.98994952614689
30,-1.99258392556481,-1.99094288448807
31,-1.99421741367533,-1.992523152614
32,-1.99512935934521,-1.99372672205936
33,-1.99551080674944,-1.99444255767055
34,-1.99652625428205,-1.99554588451027
35,-1.997158426735,-1.99631887278033
36,-1.99752752732926,-1.996766928054
37,-1.99834188224303,-1.99763211487521
38,-1.99864295916551,-1.99806797000837
39,-1.99935940444506,-1.9986646547355
40,-1.99964207959377,-1.99915272775555
41,-1.99984563168957,-1.99942974358354
42,-1.99988089795192,-1.99963337566888
43,-1.99998454296347,-1.99985836266157
44,-1.99999960707195,-1.9999084938384
45,-1.99999997665587,-1.99994265093861
46,-1.99999997665587,-1.99996526026986
47,-1.99999997665587,-1.99996882609755
48,-1.99999997665587,-1.99996987346897
49,-1.99999998017815,-1.99997237018678
50,-1.99999998017815,-1.9999996122773
51,-1.99999998052037,-1.99999972669972
52,-1.99999998052037,-1.99999976965956
53,-1.99999998052037,-1.99999980098654
54,-1.99999998052037,-1.99999982202298
55,-1.99999998052037,-1.99999982694242
56,-1.99999999936554,-1.99999983137033
57,-1.99999999936554,-1.99999983510611
58,-1.99999999936554,-1.99999984706629
59,-1.99999999936554,-1.99999984920206
