"Iteration","Best","Average"
0,-1.98485985001129,-0.483375682201136
1,-1.99619898744532,-0.924964696808953
2,-1.99619898744532,-1.17154180913474
3,-1.99619898744532,-1.30573906760184
4,-1.99759430332868,-1.45601433554846
5,-1.99777108942389,-1.48518795705751
6,-1.99777108942389,-1.42045677123542
7,-1.99777108942389,-1.357632143417
8,-1.99516705765017,-1.18087513479208
9,-1.99994668290253,-1.25091405300763
10,-1.99994668290253,-1.28592183457508
11,-1.99994668290253,-1.24884977089777
12,-1.99528283644314,-1.23802546089477
13,-1.99832454079677,-1.27425732260881
14,-1.99832454079677,-1.41758673686179
15,-1.99832454079677,-1.45235333179107
16,-1.99832454079677,-1.35960070446694
17,-1.99832454079677,-1.30594229563925
18,-1.97272307627973,-1.37564928719409
19,-1.97413222216456,-1.29571117951952
20,-1.99995255873028,-1.20032494053357
21,-1.99995255873028,-1.12142153554544
22,-1.99634091932311,-1.21275005192158
23,-1.99141181683652,-1.31256613564403
24,-1.99141181683652,-1.3959041938244
25,-1.99141181683652,-1.38769160472861
26,-1.99661251464241,-1.34097526666536
27,-1.99661251464241,-1.40532774093823
28,-1.99661251464241,-1.35169273964214
29,-1.98280898307521,-1.31589379669613
30,-1.98510707859109,-1.32320522034466
31,-1.98510707859109,-1.29867657565397
32,-1.98510707859109,-1.26115090961788
33,-1.98051041100805,-1.16422044144754
34,-1.99924336136386,-1.24602327796567
35,-1.99924336136386,-1.23493488785002
36,-1.99531279212247,-1.17482765043767
37,-1.99531279212247,-1.26857913634816
38,-1.99531279212247,-1.25280105956005
39,-1.99865390588029,-1.28963573025066
40,-1.99865390588029,-1.34351077866643
41,-1.99968704584989,-1.41058130836407
42,-1.99968704584989,-1.43820394447092
43,-1.99968704584989,-1.23616032098813
44,-1.99968704584989,-1.066220625257
45,-1.99065498603154,-1.11208915336933
46,-1.99226390542271,-1.2165736145961
47,-1.99226390542271,-1.26322629459094
48,-1.99226390542271,-1.35090211975793
49,-1.99849576437869,-1.29362111395826
50,-1.99849576437869,-1.26966617645033
51,-1.99849576437869,-1.18762231155719
52,-1.97144742108982,-1.052891849427
53,-1.9954650479884,-1.11896859573518
54,-1.9954650479884,-1.12004792316321
55,-1.9954650479884,-1.28205709534854
56,-1.98953067153278,-1.36303689370398
57,-1.98953067153278,-1.29133978749579
58,-1.9877544097167,-1.14650966661044
59,-1.99444055008404,-1.15855212360465
