"Iteration","Best","Average"
0,-1.96742858121611,-0.353195793233171
1,-1.95540780730705,0.0884875517463327
2,-1.98272361153954,0.0851310785238341
3,-1.98045649663822,0.376958680586179
4,-1.89802526022231,0.608683263637981
5,-1.52294359353995,0.848973841683197
6,-1.28065235283197,1.04668705932223
7,-0.86225009022963,1.1305723680154
8,-1.01644836637033,1.18533162740581
9,-0.0493345572029426,1.24048574212679
10,-0.0109791521671565,1.25638801447927
11,-0.0258562455796718,1.19929203151719
12,-0.456876552356852,1.1716532463189
13,-0.182900872790403,1.13685075291822
14,0.0886150169142611,1.07414607351763
15,0.315828553828006,0.983057807167176
16,0.338178936330683,0.927305711643839
17,-0.0833763676824027,0.849511509717412
18,-0.147943586684487,0.758414844018875
19,0.0532422451725004,0.662234565779469
20,-0.163124600361274,0.593944159897404
21,-0.150784530469199,0.506269663405355
22,-0.0154170703690595,0.405838555087718
23,-0.298325987067204,0.338099698504839
24,-0.496786381862345,0.248941997267581
25,-0.726474407888637,0.182153944992974
26,-0.658459130792048,0.116077143480134
27,-0.546956609150226,0.0487466734102393
28,-0.524348599566188,-0.0120968204543208
29,-0.459185223234809,-0.0620867633849259
30,-0.494443860169538,-0.115759599235841
31,-0.569672973510367,-0.191028960773462
32,-0.671145171911247,-0.253452341657715
33,-0.703487126735456,-0.311044498393302
34,-0.779586129917585,-0.369842819240896
35,-1.04683771428623,-0.415942906783302
36,-1.20602102797386,-0.473162675475477
37,-1.14858404385037,-0.530138864817645
38,-1.13630899306439,-0.590077640706708
39,-1.11257913840224,-0.640284469313646
40,-1.19575544840137,-0.690254240844972
41,-1.23566290001868,-0.729026344946825
42,-1.22396416411124,-0.782468041215828
43,-1.33734724448434,-0.824305396591146
44,-1.28256142936415,-0.888438390837366
45,-1.38144322949747,-0.927005256724173
46,-1.44023376150046,-0.970145416998301
47,-1.43712352006735,-1.00199648473191
48,-1.52352328554211,-1.0381847677692
49,-1.53277588254864,-1.06030105173746
50,-1.53688400021668,-1.08110421254324
51,-1.56838066364097,-1.10630289116482
52,-1.5936165337874,-1.13502261817246
53,-1.5882733514319,-1.15925339548365
54,-1.57638588956088,-1.17636493340669
55,-1.56587573419225,-1.18930863592658
56,-1.54982766100002,-1.20214818195877
57,-1.53538724417114,-1.20938829713815
58,-1.52811691349089,-1.21985928206082
59,-1.52508822194179,-1.2258877232797
