"Iteration","Best","Average"
0,-1.92124006086443,-0.239905731198134
1,-1.92124006086443,-0.615380283193422
2,-1.92124006086443,-0.989964327986594
3,-1.96031361465217,-1.09454868779082
4,-1.96031361465217,-1.23998135670149
5,-1.96031361465217,-1.40434210494964
6,-1.96031361465217,-1.40924879795279
7,-1.96031361465217,-1.53830189193636
8,-1.96031361465217,-1.66098415422139
9,-1.96031361465217,-1.71214648005057
10,-1.96031361465217,-1.75668755640674
11,-1.96031361465217,-1.7896323117997
12,-1.96031361465217,-1.7896323117997
13,-1.96031361465217,-1.84528149604451
14,-1.96031361465217,-1.8479646310909
15,-1.96031361465217,-1.86412469530808
16,-1.96031361465217,-1.86914427424269
17,-1.99722158458917,-1.87985726596729
18,-1.99722158458917,-1.89535614540815
19,-1.99722158458917,-1.89894888208736
20,-1.99722158458917,-1.90087899551335
21,-1.99722158458917,-1.91133360118142
22,-1.99722158458917,-1.91222956104327
23,-1.99722158458917,-1.91465115474141
24,-1.99722158458917,-1.9149234310162
25,-1.99722158458917,-1.92246060038989
26,-1.99722158458917,-1.92955965215583
27,-1.99722158458917,-1.93615851736856
28,-1.99882421959541,-1.94178481933645
29,-1.99945885479132,-1.95498887766476
30,-1.99945885479132,-1.95934981989136
31,-1.99945885479132,-1.96444221883679
32,-1.99945885479132,-1.97023790459974
33,-1.99945885479132,-1.97209520445834
34,-1.99964720599799,-1.97607380594229
35,-1.99980198412296,-1.98302737692684
36,-1.9998922010553,-1.98604337823358
37,-1.9998922010553,-1.9860715698492
38,-1.99999335617685,-1.9899736476248
39,-1.99999335617685,-1.99248588088271
40,-1.99999335617685,-1.99335224077658
41,-1.99999335617685,-1.99472471177636
42,-1.99999335617685,-1.99502158479819
43,-1.99999984671565,-1.99604251692691
44,-1.99999984671565,-1.99664521876597
45,-1.99999984671565,-1.99678266957606
46,-1.99999984671565,-1.99788246005487
47,-1.99999984671565,-1.9980313389871
48,-1.99999984671565,-1.99829771718881
49,-1.99999984671565,-1.99846731612077
50,-1.99999984671565,-1.99895565850099
51,-1.99999984671565,-1.99909475278258
52,-1.99999984671565,-1.99913733813569
53,-1.99999984671565,-1.99941148397302
54,-1.99999984671565,-1.99948223188438
55,-1.99999984671565,-1.99958122921213
56,-1.99999984671565,-1.99962292591209
57,-1.99999984671565,-1.9996805322331
58,-1.99999984671565,-1.99972234127395
59,-1.99999984671565,-1.99981289222497
