"Iteration","Best","Average"
0,1.28665234506481,8.96090140082525
1,1.13603098687767,5.92144716913962
2,0.222649053873084,4.79828773708677
3,0.216748809405657,1.59006030586649
4,0.208711407833956,1.28038593881621
5,0.0323672973447385,0.357301522343486
6,0.0293327579743736,0.143554094440498
7,0.0264694969582688,0.0605168897639756
8,0.0226492034681398,0.0438879652276023
9,0.0200486569771147,0.0325155660886989
10,0.0177920289827379,0.025419965346928
11,0.0159728282982583,0.0230315809318217
12,0.014565907439196,0.021412997274369
13,0.0119360450248693,0.0144028137850286
14,0.0101875337382145,0.0118111342266605
15,0.0079063020104634,0.010527540725376
16,0.00699151391582755,0.0087992311486263
17,0.00589957311004541,0.00772773537435222
18,0.00430970905025391,0.00634475015050332
19,0.00363584518543937,0.00492486838210088
20,0.00246979952381205,0.00407339853995956
21,0.0019230021864668,0.00363878801038589
22,0.00147755706372648,0.00295893284989991
23,0.000842388944278584,0.00199900390419856
24,0.000271548829948386,0.00133416891998115
25,8.78710804772609e-05,0.00104699291590982
26,6.12397836694981e-06,0.00083890228896199
27,9.28563363907953e-09,0.00040446009942316
28,9.28563363907953e-09,0.000256819386174074
29,9.28563363907953e-09,6.37728546612705e-05
30,9.28563363907953e-09,1.29244027114671e-06
31,9.28563363907953e-09,1.05221683760256e-06
32,9.28563363907953e-09,7.61618478285561e-07
33,9.28563363907953e-09,6.91672319122159e-07
34,1.62701438717689e-09,6.10552486229403e-07
35,1.62701438717689e-09,4.67180704977619e-07
36,1.62701438717689e-09,4.35484447773912e-07
37,1.62701438717689e-09,3.94891344545253e-07
38,1.62701438717689e-09,3.94891344545253e-07
39,1.62701438717689e-09,3.52077918727511e-07
40,1.62701438717689e-09,3.40769273281818e-07
41,1.62701438717689e-09,3.05108631863963e-07
42,1.62701438717689e-09,2.95043116081025e-07
43,1.62701438717689e-09,2.54800793601137e-07
44,1.62701438717689e-09,2.54800793601137e-07
45,1.62701438717689e-09,2.31833209622822e-07
46,1.62701438717689e-09,2.31833209622822e-07
47,1.62701438717689e-09,2.02527514393387e-07
48,1.62701438717689e-09,2.0111332662887e-07
49,1.62701438717689e-09,1.90966992105157e-07
50,1.62701438717689e-09,1.79742687096769e-07
51,1.62701438717689e-09,1.69819184606134e-07
52,1.62701438717689e-09,1.64648988086684e-07
53,1.62701438717689e-09,1.54093259586436e-07
54,1.62701438717689e-09,1.54093259586436e-07
55,1.62701438717689e-09,1.31213393063223e-07
56,1.62701438717689e-09,1.20100665258327e-07
57,1.0345200110037e-09,1.15195002105948e-07
58,1.0345200110037e-09,1.10906006570951e-07
59,1.0345200110037e-09,1.10679546656652e-07
