"Iteration","Best","Average"
0,0.0736826365559858,8.26961211679165
1,0.070838168801931,5.16904396407977
2,0.0676886881003667,1.24916958213583
3,0.0624917022678338,0.708693463745577
4,0.0600372673928707,0.706069553523708
5,0.0567305024887653,0.703299642900963
6,0.053164184947276,0.698734790622675
7,0.0494001377740061,0.0546273797488801
8,0.046656596935321,0.0503984824779024
9,0.043211469760185,0.0484960119742748
10,0.0403835278236487,0.0453004377136119
11,0.0375138413252758,0.0419223231263109
12,0.0344129106278801,0.0386659202995031
13,0.0324658770679332,0.0363960283883448
14,0.0302576329746129,0.0334277443993668
15,0.0262369559797072,0.0313000130307569
16,0.0241599130685455,0.0277248373985045
17,0.021471997085811,0.0247959310747659
18,0.0202740800652034,0.0238873845205253
19,0.019201891662349,0.0218693915273018
20,0.0175281241764656,0.0208704620344031
21,0.0134361171210769,0.0178320652714354
22,0.0121775680015809,0.0154083527839158
23,0.010626392669488,0.0136847587929802
24,0.00909749108746124,0.0119741078029783
25,0.00773768355616158,0.0106719400569239
26,0.00616505079640339,0.00945910575769011
27,0.00533535514722516,0.00756636591486918
28,0.00346452248721818,0.0056523461660158
29,0.00270031658820271,0.0044298053650372
30,0.00112527559788217,0.00293608830258768
31,0.000918826701380997,0.00194132596907551
32,0.000439999478029204,0.00131100477386067
33,0.000159367074916223,0.000612703490400718
34,1.79146911394114e-05,0.000337039053559576
35,9.7459195208212e-07,0.000236558705486995
36,8.58332188158473e-08,9.13507040760103e-05
37,1.67899113516148e-08,3.97918646448283e-05
38,1.20763292183122e-08,1.34544959862428e-05
39,1.20763292183122e-08,1.30059512725199e-05
40,1.20763292183122e-08,1.21668845564511e-05
41,1.20763292183122e-08,1.27425672100648e-06
42,1.20763292183122e-08,1.08281427349207e-06
43,1.20763292183122e-08,6.9352585409929e-07
44,1.20763292183122e-08,6.12032797210809e-07
45,1.20763292183122e-08,5.27623921233131e-07
46,1.20763292183122e-08,4.24667232283697e-07
47,1.20763292183122e-08,4.14213565227414e-07
48,1.20763292183122e-08,3.85089107570111e-07
49,1.20763292183122e-08,3.68142095436166e-07
50,1.20763292183122e-08,3.44138503471787e-07
51,1.20763292183122e-08,2.89993149010052e-07
52,1.20763292183122e-08,2.59903672108995e-07
53,1.20763292183122e-08,2.51352622522551e-07
54,1.20763292183122e-08,2.33635999191007e-07
55,1.20763292183122e-08,2.28331070533831e-07
56,8.98665406979439e-10,2.04444934469558e-07
57,8.98665406979439e-10,1.94266148742505e-07
58,8.98665406979439e-10,1.79068651608158e-07
59,8.98665406979439e-10,1.79068651608158e-07
