"Iteration","Best","Average"
0,0.612631571877943,6.51346507061446
1,0.00229365734686696,2.86695619607626
2,0.00164923539281362,1.36086186282002
3,0.00107576078526257,1.31481498715318
4,0.000709222822626779,1.16126125763807
5,0.000416564015089696,0.592178570241558
6,0.000206277004865288,0.000686283894775625
7,5.99913127913265e-05,0.000402270392059873
8,2.28499968456295e-07,0.000159358595973719
9,3.29678014362303e-08,5.85772763932661e-05
10,3.84562924843902e-09,3.84364730758784e-05
11,3.84562924843902e-09,1.02632102610111e-05
12,3.84562924843902e-09,1.00715961863085e-05
13,3.84562924843902e-09,3.48531845911248e-06
14,3.84562924843902e-09,3.38076077074495e-06
15,3.84562924843902e-09,6.70675804965665e-07
16,3.84562924843902e-09,6.14560682891428e-07
17,3.84562924843902e-09,5.79647151910454e-07
18,3.84562924843902e-09,4.38291773472872e-07
19,3.84562924843902e-09,4.29518883476656e-07
20,3.84562924843902e-09,4.11033407965577e-07
21,3.84562924843902e-09,4.089203024828e-07
22,3.84562924843902e-09,3.80964189391456e-07
23,3.84562924843902e-09,3.40914723267438e-07
24,3.84562924843902e-09,2.92989121590829e-07
25,3.84562924843902e-09,2.88607364822006e-07
26,3.84562924843902e-09,2.78182221105544e-07
27,3.84562924843902e-09,2.64267383690286e-07
28,3.84562924843902e-09,2.60102406146837e-07
29,3.84562924843902e-09,2.56778253850794e-07
30,3.84562924843902e-09,2.40838570236348e-07
31,3.84562924843902e-09,2.40282076633748e-07
32,3.84562924843902e-09,2.33854808646656e-07
33,3.84562924843902e-09,2.06065816453254e-07
34,3.84562924843902e-09,2.05470271274448e-07
35,3.84562924843902e-09,1.93693993582579e-07
36,3.84562924843902e-09,1.92895901202004e-07
37,3.84562924843902e-09,1.7081539850723e-07
38,3.84562924843902e-09,1.60388846193765e-07
39,3.84562924843902e-09,1.39639725655633e-07
40,3.84562924843902e-09,1.39256615753014e-07
41,3.84562924843902e-09,1.29800733969733e-07
42,3.84562924843902e-09,1.29800733969733e-07
43,3.84562924843902e-09,1.25589346839753e-07
44,3.84562924843902e-09,1.17631984864135e-07
45,3.84562924843902e-09,1.17631984864135e-07
46,3.84562924843902e-09,1.15433768911909e-07
47,3.84562924843902e-09,1.15433768911909e-07
48,3.84562924843902e-09,1.10882860170148e-07
49,3.84562924843902e-09,1.09747601562742e-07
50,3.84562924843902e-09,1.09747601562742e-07
51,3.84562924843902e-09,1.07993593814434e-07
52,3.84562924843902e-09,1.07993593814434e-07
53,3.84562924843902e-09,1.07993593814434e-07
54,3.84562924843902e-09,9.17293198122571e-08
55,3.84562924843902e-09,8.9819046834576e-08
56,3.84562924843902e-09,8.87567568244963e-08
57,3.84562924843902e-09,8.01611463462561e-08
58,3.84562924843902e-09,7.30756444676746e-08
59,3.84562924843902e-09,7.30756444676746e-08
