"Iteration","Best","Average"
0,0.00578204172888084,13.9584230936972
1,0.00578204172888084,16.2190502530449
2,0.0838492676509206,9.32194724556728
3,0.012681496328381,5.42063909209012
4,0.00537801248501001,3.23975532992072
5,0.00537801248501001,1.92050810048388
6,0.00161206673922758,1.14936480220696
7,0.00161206673922758,0.652664770277985
8,0.00110516568205792,0.334878095992757
9,0.00110516568205792,0.185916430037919
10,0.00118148760758125,0.133904299169368
11,0.000145006410315325,0.0878546466541312
12,0.000143698339814437,0.062515388163979
13,0.000143698339814437,0.0464506320497208
14,0.00114957001408042,0.0302079305270615
15,0.000609553397803837,0.022118050472121
16,0.000609553397803837,0.0123603621901871
17,0.000206124218029615,0.00982350911636291
18,0.000233856623564385,0.00765788842955569
19,0.000269256024762054,0.00588757307732021
20,0.000130834544481843,0.00530912649853672
21,0.000130834544481843,0.0051058018461677
22,0.000228219564191546,0.00563988039333705
23,0.000307893677427736,0.0039096631454107
24,0.000350169543125017,0.00486815992403066
25,0.000472434576088878,0.00269701761633679
26,0.00035680931048622,0.00231793125133907
27,0.00035680931048622,0.00240357071259119
28,0.000400963231256928,0.00211345235858453
29,0.000276042106310155,0.00188555282748414
30,0.000276042106310155,0.00181632688887978
31,0.000198215569314507,0.00190162570087326
32,0.000198215569314507,0.00177193084005002
33,0.000236302853992355,0.00207118484822387
34,0.000255888619170997,0.00214959443886041
35,0.000255888619170997,0.00196617291675299
36,6.33689341323376e-05,0.00202725025416561
37,1.95344664461861e-05,0.0017677561811892
38,1.95344664461861e-05,0.00168038306100812
39,2.68720282182981e-05,0.00181816914003026
40,1.61658531842421e-05,0.00140979995599631
41,9.10389244788986e-06,0.00161159435813394
42,5.68085864328182e-07,0.00156399526638635
43,5.68085864328182e-07,0.00153275679567434
44,2.07298448693919e-06,0.00149175976733864
45,3.62834959352859e-06,0.00139705844208126
46,1.44192480890588e-06,0.00135055900022884
47,1.17977415368236e-06,0.00153304453185974
48,1.17977415368236e-06,0.00141978356089686
49,2.12062204757864e-06,0.00131940268108252
50,3.04130655334617e-06,0.00125191018812561
51,4.40033413504039e-06,0.0010201826889091
52,4.77227555963204e-06,0.000949337997750819
53,4.22618275657951e-06,0.000888240547626509
54,3.64653422379212e-06,0.000900294675598715
55,3.46660388153419e-06,0.000737659755416047
56,3.46660388153419e-06,0.000713777101819741
57,3.50037238454567e-06,0.000633523795074582
58,4.17103592118143e-06,0.000405293401976522
59,4.30678619039664e-06,0.000335623531469412
