"Iteration","Best","Average"
0,-19.3414599567147,-16.7591233637483
1,-19.3574803429476,-17.5112330603155
2,-19.3746150832567,-18.7505286685946
3,-19.3993791398373,-19.071314191551
4,-19.4091233974814,-19.3867440195026
5,-19.461653680445,-19.4156590706655
6,-19.4731619439389,-19.4444070890658
7,-19.4921489711177,-19.4610806688298
8,-19.5095136587493,-19.485210222751
9,-19.5297427958126,-19.4968832320455
10,-19.5542927509151,-19.5277187691093
11,-19.5699625290435,-19.5401002246669
12,-19.5953231424552,-19.5670543004456
13,-19.6162546112262,-19.5860746581547
14,-19.6354873434991,-19.6024713989971
15,-19.6549883847267,-19.6233992110824
16,-19.6666228431935,-19.6378501684147
17,-19.692897693492,-19.6553983083162
18,-19.7044734848889,-19.6813703835341
19,-19.7255495838074,-19.7050486791311
20,-19.7516354074734,-19.7251342548823
21,-19.767175090478,-19.7398489478581
22,-19.7736613298261,-19.7534555355886
23,-19.7936686288097,-19.7728110111951
24,-19.8143594155158,-19.7889289047216
25,-19.8355830032638,-19.8070200337758
26,-19.855380761584,-19.8278955076933
27,-19.8859054665212,-19.8519756900206
28,-19.9186609448231,-19.8727613504501
29,-19.9313313053248,-19.8950412839521
30,-19.9586849132215,-19.924155457814
31,-19.9811968171571,-19.9400632623989
32,-19.9951008301235,-19.9657187472286
33,-19.9959838299954,-19.9723377880627
34,-19.9993506342872,-19.9808752854508
35,-19.9995352323954,-19.9831758400689
36,-19.9995352323954,-19.9878030714079
37,-19.9995352323954,-19.9906473006686
38,-19.9995352323954,-19.997535202009
39,-19.9995407118996,-19.9978696035004
40,-19.9999200472008,-19.9981702600011
41,-19.9999200472008,-19.9982606553311
42,-19.9999200472008,-19.9984364255387
43,-19.9999200472008,-19.9985658289064
44,-19.9999200472008,-19.9987331883165
45,-19.9999200472008,-19.9987331883165
46,-19.9999200472008,-19.9987470868452
47,-19.9999200472008,-19.9987573455532
48,-19.9999200472008,-19.9987573455532
49,-19.9999200472008,-19.998795841446
50,-19.9999200472008,-19.9988811654229
51,-19.9999200472008,-19.9989906735417
52,-19.9999200472008,-19.9989964425529
53,-19.9999200472008,-19.9990015727412
54,-19.9999200472008,-19.9990374889857
55,-19.9999200472008,-19.9990374889857
56,-19.9999200472008,-19.9990538903572
57,-19.9999200472008,-19.9990750539146
58,-19.9999200472008,-19.9990750539146
59,-19.9999200472008,-19.9990772611271
