"Iteration","Best","Average"
0,-18.973947608358,-14.0992515772821
1,-19.3264719466944,-14.9541949596973
2,-19.4589429840325,-15.259012182431
3,-19.9414716679437,-15.8219027967078
4,-19.9414716679437,-16.4762694102045
5,-19.9414716679437,-16.5896840107112
6,-19.8192146089344,-16.7653823201387
7,-19.8965666888258,-16.9583351731429
8,-19.9228403570607,-16.6001195884349
9,-19.9228403570607,-16.975857318302
10,-19.9228403570607,-16.9910784719562
11,-19.9228403570607,-16.9657157643261
12,-19.8931427449321,-16.9063790893264
13,-19.8931427449321,-16.3899920395362
14,-19.9372925758814,-16.2340353939879
15,-19.9372925758814,-16.3472116313695
16,-19.9011313375033,-16.2823555839387
17,-19.9210566855916,-16.6094699551721
18,-19.9337356680452,-15.9586464218916
19,-19.9337356680452,-16.265993062578
20,-19.9337356680452,-16.0158727064852
21,-19.8566410258631,-15.7376711728309
22,-19.7612592188528,-15.7992414634572
23,-19.8694725353513,-16.4728758268465
24,-19.896345606075,-16.8006270039745
25,-19.896345606075,-16.5450533104464
26,-19.896345606075,-16.2141817708393
27,-19.82487327116,-16.351416184926
28,-19.82487327116,-16.5681495800938
29,-19.9027213620254,-16.8454429164895
30,-19.9027213620254,-16.5927113430088
31,-19.9027213620254,-16.275268730608
32,-19.8506030496512,-15.9174763173817
33,-19.8506030496512,-16.0936257528371
34,-19.8506030496512,-15.9806762701976
35,-19.7745585552527,-15.9579935423761
36,-19.8309619877012,-15.5334872799047
37,-19.8787672643073,-15.3778694320396
38,-19.9713888113725,-15.4355556071409
39,-19.9713888113725,-15.5272996873165
40,-19.9713888113725,-15.6903810305768
41,-19.6958939266692,-16.2979855505168
42,-19.8632338592365,-16.2676844014691
43,-19.8632338592365,-16.4474653126822
44,-19.9185792144555,-16.8578195932423
45,-19.9185792144555,-16.8871578695614
46,-19.9185792144555,-16.671532873713
47,-19.9185792144555,-16.4780993595067
48,-19.9107765008092,-16.3403420088238
49,-19.9316320314242,-16.0016688418568
50,-19.9316320314242,-16.1807830905955
51,-19.9316320314242,-16.2156474621462
52,-19.7925880879201,-15.6220986512871
53,-19.8947461782833,-15.8202075276359
54,-19.8947461782833,-16.4808601381759
55,-19.794213406466,-16.3887306138808
56,-19.8043541342034,-15.5116413154716
57,-19.8043541342034,-15.6978833892818
58,-19.8746526195891,-16.3089186349271
59,-19.9272226183277,-16.098102504485
