"Iteration","Best","Average"
0,-19.6476683654555,-12.7518265906466
1,-19.6715710298244,-12.9700625577763
2,-19.6715710298244,-14.5359255494504
3,-19.5658887544077,-15.7189921092364
4,-19.7118925618102,-16.6806852906158
5,-19.8668679353472,-17.5661805303583
6,-19.8758728592814,-18.1384626327233
7,-19.9732926366446,-18.6057934716007
8,-19.9698332613364,-18.9722049437157
9,-19.9844825002984,-19.2168853942334
10,-19.9844825002984,-19.4070846189746
11,-19.9590605157439,-19.545068791765
12,-19.9590605157439,-19.6137671553789
13,-19.9466570138971,-19.680857315414
14,-19.9290885211607,-19.7224454630848
15,-19.9175316823797,-19.732124090804
16,-19.9175316823797,-19.7576111708805
17,-19.9433596602281,-19.7867882780805
18,-19.979677466124,-19.8107382881416
19,-19.979677466124,-19.8282041971279
20,-19.9867140216561,-19.8305021080995
21,-19.9867140216561,-19.8260339304135
22,-19.9755926548438,-19.8494581015248
23,-19.9681785214356,-19.865069262773
24,-19.9652440998336,-19.8823712060907
25,-19.9701178675628,-19.8884149226417
26,-19.9701178675628,-19.8884334555693
27,-19.9673173341293,-19.9006492576051
28,-19.9653218332389,-19.9042955454676
29,-19.9677455924194,-19.8945817093095
30,-19.9677455924194,-19.892433464059
31,-19.9648252397992,-19.8998606476859
32,-19.9724341778981,-19.9062604417908
33,-19.9656071881445,-19.9077820990446
34,-19.9663970750394,-19.9008444889847
35,-19.9667916231235,-19.9020043651081
36,-19.9670089291732,-19.9051348878718
37,-19.9670089291732,-19.8974858938237
38,-19.966801200086,-19.8953259109288
39,-19.9661372420112,-19.8952079619366
40,-19.9628388895567,-19.8956240031472
41,-19.9639886630914,-19.8971999516502
42,-19.9649555667593,-19.8968010638012
43,-19.9674719586466,-19.9057380867441
44,-19.9699274910479,-19.912371275993
45,-19.971190972378,-19.9280413077089
46,-19.972620505857,-19.9344041820771
47,-19.972620505857,-19.9354958741003
48,-19.9728329401556,-19.9378053299542
49,-19.9776628878336,-19.9379446472787
50,-19.9784947681519,-19.9416964038479
51,-19.982536375745,-19.9440131543897
52,-19.9802450280219,-19.9452575157672
53,-19.980765218882,-19.9454710859749
54,-19.9989079601609,-19.9469840169534
55,-19.9898449088835,-19.9504471766122
56,-19.9832178368699,-19.9532933628558
57,-19.9940370516227,-19.956645371162
58,-19.9942618993712,-19.9597020131466
59,-19.9944127240127,-19.964788312731
