"Iteration","Best","Average"
0,-17.9511486912029,-12.3285715178732
1,-19.534594110738,-15.9885294203116
2,-19.9129152769143,-17.7535446014847
3,-19.9583863263396,-18.7244064140162
4,-19.994333239759,-19.3715858214356
5,-19.994333239759,-19.613832731219
6,-19.998764745965,-19.8319445199607
7,-19.9992272821919,-19.9324410168001
8,-19.9998162466804,-19.9705797129338
9,-19.9999676106316,-19.9890374405921
10,-19.9999932359567,-19.9957189573048
11,-19.9999932359567,-19.9985432263567
12,-19.9999943210186,-19.9994232489227
13,-19.9999953599956,-19.9996524332389
14,-19.9999972659714,-19.9998922940317
15,-19.9999981612262,-19.9999761728085
16,-19.9999989652887,-19.9999934645589
17,-19.9999993138955,-19.9999967041255
18,-19.9999994067401,-19.9999987461553
19,-19.9999995438344,-19.9999992701881
20,-19.9999996841023,-19.9999994784667
21,-19.9999997297298,-19.9999996498337
22,-19.9999997818149,-19.9999997210934
23,-19.999999845229,-19.9999997852795
24,-19.9999998814816,-19.9999998357743
25,-19.9999999222389,-19.9999998901221
26,-19.9999999415842,-19.9999999206162
27,-19.9999999536523,-19.9999999394156
28,-19.9999999595812,-19.9999999497192
29,-19.999999967593,-19.9999999589727
30,-19.999999978138,-19.9999999658427
31,-19.9999999812515,-19.9999999755422
32,-19.9999999883384,-19.999999981501
33,-19.9999999915128,-19.9999999882639
34,-19.9999999933374,-19.9999999915017
35,-19.9999999944552,-19.9999999934952
36,-19.999999995243,-19.9999999944594
37,-19.9999999962439,-19.9999999951836
38,-19.9999999966497,-19.9999999960884
39,-19.999999997126,-19.9999999966901
40,-19.9999999973114,-19.9999999970244
41,-19.9999999976786,-19.9999999972831
42,-19.9999999978623,-19.9999999975978
43,-19.9999999979789,-19.999999997865
44,-19.9999999980895,-19.9999999979721
45,-19.9999999981452,-19.9999999980785
46,-19.9999999981745,-19.9999999981324
47,-19.9999999982596,-19.9999999981708
48,-19.9999999983342,-19.9999999982423
49,-19.9999999983699,-19.9999999983144
50,-19.999999998395,-19.9999999983575
51,-19.9999999984155,-19.9999999983869
52,-19.9999999984397,-19.999999998416
53,-19.9999999984428,-19.9999999984313
54,-19.9999999984653,-19.9999999984466
55,-19.9999999984688,-19.9999999984618
56,-19.9999999984751,-19.9999999984683
57,-19.9999999984804,-19.9999999984745
58,-19.9999999984879,-19.9999999984803
59,-19.9999999984887,-19.9999999984862
