Iteration,Phase,Id,X,Y
10,,10,,
0,0,0,243.2283936,177.5681443
0,0,1,70.2350341,343.5991198
0,0,2,325.5043685,296.4623165
0,0,3,271.9776764,323.0055456
0,0,4,64.584847,545.3361515
0,0,5,400.4023693,275.6150437
0,0,6,315.1533805,169.2929911
0,0,7,10.63608857,112.4771387
0,0,8,470.6252406,0
0,0,9,306.1342563,540.6510867
0,1,0,243.2283936,177.5681443
0,1,1,70.2350341,343.5991198
0,1,2,325.5043685,296.4623165
0,1,3,271.9776764,323.0055456
0,1,4,64.584847,545.3361515
0,1,5,400.4023693,275.6150437
0,1,6,315.1533805,169.2929911
0,1,7,10.63608857,112.4771387
0,1,8,470.6252406,0
0,1,9,306.1342563,540.6510867
0,2,0,243.2283936,177.5681443
0,2,1,70.2350341,343.5991198
0,2,2,325.5043685,296.4623165
0,2,3,271.9776764,323.0055456
0,2,4,64.584847,545.3361515
0,2,5,400.4023693,275.6150437
0,2,6,315.1533805,169.2929911
0,2,7,10.63608857,112.4771387
0,2,8,470.6252406,0
0,2,9,306.1342563,540.6510867
1,0,0,243.2283936,177.5681443
1,0,1,70.2350341,343.5991198
1,0,2,325.5043685,296.4623165
1,0,3,271.9776764,323.0055456
1,0,4,64.584847,545.3361515
1,0,5,400.4023693,275.6150437
1,0,6,315.1533805,169.2929911
1,0,7,144.5363435,104.11197
1,0,8,470.6252406,0
1,0,9,306.1342563,540.6510867
1,1,0,243.2283936,177.5681443
1,1,1,70.2350341,343.5991198
1,1,2,325.5043685,296.4623165
1,1,3,271.9776764,323.0055456
1,1,4,64.584847,545.3361515
1,1,5,400.4023693,275.6150437
1,1,6,315.1533805,169.2929911
1,1,7,144.5363435,104.11197
1,1,8,470.6252406,0
1,1,9,306.1342563,540.6510867
1,2,0,243.2283936,177.5681443
1,2,1,70.2350341,343.5991198
1,2,2,325.5043685,296.4623165
1,2,3,271.9776764,323.0055456
1,2,4,64.584847,545.3361515
1,2,5,400.4023693,275.6150437
1,2,6,315.1533805,169.2929911
1,2,7,144.5363435,104.11197
1,2,8,470.6252406,0
1,2,9,306.1342563,540.6510867
2,0,0,243.2283936,177.5681443
2,0,1,70.2350341,343.5991198
2,0,2,325.5043685,296.4623165
2,0,3,271.9776764,323.0055456
2,0,4,64.584847,545.3361515
2,0,5,400.4023693,275.6150437
2,0,6,410.9019607,312.8797692
2,0,7,144.5363435,104.11197
2,0,8,470.6252406,0
2,0,9,288.1405482,458.2783147
2,1,0,243.2283936,177.5681443
2,1,1,70.2350341,343.5991198
2,1,2,325.5043685,296.4623165
2,1,3,271.9776764,323.0055456
2,1,4,64.584847,545.3361515
2,1,5,400.4023693,275.6150437
2,1,6,410.9019607,312.8797692
